ID,Name,Team ID,Team Name,G,GS,GR,CG,SHO,NBB,W,L,SV,BS,HLD,IP,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,FO
E0D5,莊瑋全,E01,兄弟,45,0,45,0,0,0,2,2,3,3,3,73.1,311,965,87,0,14,2,2,25,2,0,31,24,115,60
E0D9,劉俊男,E01,兄弟,29,21,8,0,0,0,4,13,1,2,1,135.2,626,2191,154,12,61,1,6,64,7,1,86,74,159,171
E096,王勁力,E01,兄弟,24,0,24,0,0,0,3,1,2,1,3,34.0,141,526,25,6,7,0,4,22,0,0,15,12,34,46
R034,葉詠捷,E01,兄弟,24,8,16,0,0,0,4,8,0,4,1,69.2,334,1190,87,12,29,3,8,36,5,1,53,51,69,95
E060,吳俊億,E01,兄弟,22,4,18,0,0,0,0,3,1,0,1,52.0,252,863,80,2,15,0,10,21,1,1,30,29,66,59
E0D8,吳保賢,E01,兄弟,20,6,14,0,0,0,2,2,0,0,1,50.0,235,921,55,6,31,2,5,45,5,0,35,31,44,45
E0E9,布拉克B.C,E01,兄弟,18,0,18,0,0,0,1,2,9,1,0,23.0,103,371,27,0,6,1,1,13,0,0,15,12,44,9
E0F1,喬伊J.D,E01,兄弟,15,15,0,1,0,0,8,5,0,0,0,102.0,426,1600,88,2,35,0,4,79,1,0,33,27,96,114
E088,蕭任汶,E01,兄弟,14,1,13,0,0,0,2,0,0,0,0,36.1,148,489,35,0,4,0,4,19,1,0,18,17,45,40
L074,史密斯C.S,E01,兄弟,13,12,1,0,0,0,2,7,1,0,0,81.1,338,1247,77,3,19,2,5,40,3,0,37,28,121,65
E0F3,大德T.E,E01,兄弟,13,0,13,0,0,0,0,3,5,2,0,15.1,73,285,20,0,7,0,0,9,2,0,8,4,19,16
E0E2,廖于誠,E01,兄弟,12,7,5,0,0,0,0,3,0,0,0,37.1,169,666,26,1,32,1,4,20,2,2,20,18,52,33
E0E5,莊宏亮,E01,兄弟,9,5,4,0,0,0,2,2,0,1,0,33.0,166,602,51,6,18,0,1,24,3,0,28,27,26,44
E0C2,養父鐵,E01,兄弟,9,9,0,0,0,0,4,4,0,0,0,48.2,221,873,59,3,12,0,3,40,4,0,30,22,49,54
E0F4,艾迪E.C,E01,兄弟,8,6,2,0,0,0,4,1,0,0,0,40.0,179,641,43,2,13,0,6,24,1,0,18,13,46,41
E0E8,布萊恩B.R-2006,E01,兄弟,6,6,0,0,0,0,2,3,0,0,0,41.1,174,707,41,3,10,1,3,41,0,1,20,19,39,38
E0F2,中村隼人,E01,兄弟,2,0,2,0,0,0,0,0,0,0,0,1.2,11,39,3,0,3,0,0,1,0,0,2,2,0,3
E0D2,陳世斌,E01,兄弟,1,0,1,0,0,0,0,0,0,0,0,1.0,3,6,0,0,0,0,0,0,0,0,0,0,1,2
G002,李明進,G01,誠泰,62,0,62,0,0,0,7,4,4,2,18,96.1,392,1338,93,2,9,2,3,55,2,1,25,22,138,85
R000,張賢智,G01,誠泰,34,24,10,1,0,0,12,10,3,0,0,165.2,704,2492,171,14,41,0,4,96,1,0,77,60,193,191
G069,林恩宇,G01,誠泰,31,28,3,5,3,1,17,8,2,0,0,202.2,791,2885,140,6,39,0,4,209,7,0,56,39,212,175
G084,威格斯F.V,G01,誠泰,29,2,27,1,0,0,0,4,6,1,4,47.0,233,826,69,2,15,1,4,41,0,0,41,30,63,39
G075,陳家鴻,G01,誠泰,24,9,15,0,0,0,2,3,0,0,0,72.2,305,966,79,5,9,0,3,26,1,0,31,29,81,103
G005,楊騏嘉,G01,誠泰,22,12,10,0,0,0,4,5,0,0,1,82.2,345,1180,91,7,13,0,0,37,4,0,41,37,103,92
G086,捷猛士J.L,G01,誠泰,18,4,14,0,0,0,0,2,5,0,0,33.1,144,536,37,3,8,0,1,20,2,0,19,14,42,29
G003,莊景賀,G01,誠泰,15,0,15,0,0,0,0,1,0,0,0,23.2,105,319,27,3,8,0,2,14,1,0,19,14,24,27
G000,蔡士勤,G01,誠泰,13,3,10,0,0,0,2,1,0,0,0,29.0,129,457,35,1,3,0,4,15,1,0,21,15,35,34
G079,塔尼J.P,G01,誠泰,12,0,12,0,0,0,1,2,2,2,0,17.1,80,286,18,2,4,2,1,15,0,0,7,5,21,17
G039,許竹見,G01,誠泰,8,6,2,0,0,0,3,2,0,1,0,36.0,149,531,33,1,8,1,2,17,2,0,13,12,49,34
G001,黃欽智,G01,誠泰,7,0,7,0,0,0,0,0,0,0,2,8.1,34,132,8,0,2,0,0,3,0,0,5,5,7,14
G088,羅伯特R.A,G01,誠泰,7,3,4,0,0,0,0,2,1,0,0,24.1,111,443,25,3,8,0,4,25,3,1,12,10,35,13
G078,費南德茲F.H,G01,誠泰,5,5,0,0,0,0,0,3,0,0,0,23.0,109,382,36,2,6,0,2,6,2,0,22,19,30,26
G087,聖地牙哥J.S,G01,誠泰,5,3,2,0,0,0,0,2,0,0,1,14.1,74,258,22,0,8,0,0,6,2,0,12,9,25,11
G062,田家安,G01,誠泰,3,0,3,0,0,0,0,0,0,0,0,2.1,14,47,3,0,4,0,0,1,0,0,4,2,1,5
G082,瓦茲M.C,G01,誠泰,2,1,1,0,0,0,0,1,0,0,0,2.1,13,53,3,0,3,0,0,1,2,0,2,1,3,3
G085,湯姆T.B,G01,誠泰,1,0,1,0,0,0,0,0,0,0,0,1.2,12,60,7,0,0,0,0,1,0,0,4,4,3,1
D076,許聖杰,G01,誠泰,1,0,1,0,0,0,0,0,0,0,0,2.0,8,25,2,0,0,0,0,1,0,0,0,0,2,3
G056,陳元甲,G01,誠泰,1,0,1,0,0,0,0,0,0,0,0,0.1,3,9,1,1,0,0,1,0,0,0,1,1,0,1
W0C5,朱尉銘,W01,中信,45,5,40,0,0,0,6,5,0,3,5,92.2,408,1469,99,5,29,3,2,58,9,0,51,45,139,67
W0B9,沈鈺傑,W01,中信,44,0,44,0,0,0,6,5,8,5,3,62.1,262,996,63,1,14,4,0,42,2,0,24,22,57,76
W0A4,羅健銘,W01,中信,35,1,34,0,0,0,0,1,1,2,0,51.1,219,840,41,2,20,1,5,40,3,0,24,17,53,54
W060,柳裕展,W01,中信,35,0,35,0,0,0,0,0,1,0,3,42.1,184,739,41,5,19,1,2,34,6,0,22,17,54,30
W0B6,曾兆豪,W01,中信,27,25,2,5,0,0,12,7,0,0,0,179.2,742,2468,177,9,28,3,2,90,7,0,62,50,248,179
W0C1,杜章偉,W01,中信,24,17,7,1,0,1,4,5,0,0,0,100.0,440,1539,119,11,22,2,7,45,2,0,64,51,124,113
W001,高建三,W01,中信,19,16,3,0,0,0,3,9,0,0,0,78.1,361,1317,102,7,26,0,4,42,1,0,54,47,91,87
W0A1,達威D.V,W01,中信,16,0,16,0,0,0,0,2,5,1,0,23.1,96,366,19,1,5,1,2,27,0,0,11,10,19,20
W0D8,蘇哲毅,W01,中信,15,6,9,1,0,0,5,2,0,0,0,49.0,219,839,49,3,22,0,1,34,0,1,24,18,53,58
W0D5,史帝夫S.S,W01,中信,14,13,1,1,0,0,1,5,0,0,0,75.2,336,1252,78,5,32,0,3,65,1,0,37,28,94,55
L0G6,米那亞E.M,W01,中信,11,1,10,0,0,0,1,2,0,3,1,16.0,70,274,18,2,5,1,0,10,1,0,11,10,24,11
W0E0,亞力士A.H,W01,中信,10,8,2,0,0,0,2,3,0,0,0,44.1,216,883,43,0,34,2,3,39,1,0,24,17,44,44
W0D0,鄭志強,W01,中信,9,0,9,0,0,0,0,0,0,0,0,14.2,61,222,12,0,5,0,2,11,0,0,4,3,8,23
W059,謝承勳,W01,中信,8,0,8,0,0,0,0,0,0,0,0,9.1,50,175,16,2,3,0,1,4,1,0,11,9,13,12
W0E3,德瑞克D.D,W01,中信,7,6,1,1,0,0,2,3,0,0,0,37.2,163,628,37,4,10,0,3,28,0,0,22,13,48,32
W0A3,王國進,W01,中信,4,0,4,0,0,0,0,0,0,0,0,4.2,24,92,6,1,2,0,1,2,0,0,7,6,5,8
W0C2,賈西亞R.G,W01,中信,2,2,0,0,0,0,0,2,0,0,0,4.1,31,118,11,1,6,0,1,4,0,0,13,11,7,2
L0E8,林岳平,L01,統一7-ELEVEn,46,8,38,1,0,0,5,6,1,1,10,100.2,440,1670,91,8,42,4,5,82,6,0,46,36,118,86
L0B5,曾翊誠,L01,統一7-ELEVEn,43,0,43,0,0,0,1,2,17,5,2,45.2,191,742,37,0,13,3,2,44,1,0,15,11,48,42
R065,鄭博壬,L01,統一7-ELEVEn,33,2,31,0,0,0,2,1,0,1,4,45.2,202,710,44,1,17,2,7,23,3,0,27,22,66,39
L0C5,沈柏蒼,L01,統一7-ELEVEn,32,0,32,0,0,0,0,0,0,0,12,27.2,111,419,17,1,7,0,2,19,0,0,8,8,32,33
L0C8,潘威倫,L01,統一7-ELEVEn,26,25,1,6,1,3,14,9,0,0,0,182.0,732,2591,169,6,17,2,8,106,2,2,59,50,252,160
L026,曹竣崵,L01,統一7-ELEVEn,25,13,12,1,0,0,3,7,1,0,2,82.0,348,1244,95,5,13,2,5,50,2,0,37,31,116,61
L0D6,張志強,L01,統一7-ELEVEn,24,4,20,0,0,0,0,3,0,0,1,52.1,235,910,52,1,20,0,10,43,2,0,33,30,52,55
L0G9,愛力克E.C,L01,統一7-ELEVEn,19,19,0,3,2,0,9,5,0,0,0,128.2,530,2019,125,6,28,0,5,97,1,0,48,36,152,118
R016,林正豐,L01,統一7-ELEVEn,18,0,18,0,0,0,0,1,0,0,0,25.1,118,430,28,1,12,1,3,8,3,1,14,13,29,36
L0H5,羅伯森J.R,L01,統一7-ELEVEn,14,12,2,0,0,0,8,2,0,0,1,82.1,333,1226,65,1,20,0,4,75,1,0,22,20,101,59
L0G4,江柏青,L01,統一7-ELEVEn,9,0,9,0,0,0,0,0,0,1,1,3.0,19,74,5,0,4,0,1,2,1,0,1,1,4,3
L0H7,韓森H.I,L01,統一7-ELEVEn,8,8,0,0,0,0,2,5,0,0,0,45.0,201,729,50,2,10,1,4,41,2,0,27,20,59,34
L0H3,比爾B.P,L01,統一7-ELEVEn,7,6,1,1,1,0,4,1,0,0,1,46.2,188,723,43,2,6,0,1,33,0,0,12,9,67,35
L0H0,凱斯特T.K,L01,統一7-ELEVEn,3,3,0,0,0,0,0,3,0,0,0,17.2,80,261,24,3,4,0,0,10,0,0,15,12,24,15
B0D2,剛雷A.G,B02,興農,40,27,13,2,0,0,12,10,0,1,2,210.1,860,2944,196,16,43,3,2,139,9,0,82,64,266,194
B094,郭勇志,B02,興農,39,0,39,0,0,0,4,3,17,1,5,62.1,251,924,49,2,17,3,1,37,2,1,14,14,60,77
B0A4,余文彬,B02,興農,39,2,37,0,0,0,2,4,4,2,8,63.2,285,1060,65,1,29,1,1,39,6,1,35,26,89,56
B0A6,陽建福,B02,興農,35,26,9,1,0,0,13,11,1,0,1,173.0,767,2749,188,9,60,2,9,120,9,0,95,78,268,106
B0C9,威霸C.W,B02,興農,22,14,8,1,0,0,6,4,1,0,0,98.0,402,1513,90,8,21,0,6,72,4,1,42,39,123,85
B0C5,克提茲J.C,B02,興農,21,12,9,1,0,0,5,4,2,1,0,94.1,388,1337,85,1,24,0,5,48,1,1,35,26,134,78
B0C7,盧銘銓,B02,興農,18,0,18,0,0,0,0,0,1,1,0,24.0,115,437,32,3,13,0,3,12,1,0,22,19,24,28
B0C6,杜寅傑,B02,興農,16,2,14,0,0,0,0,2,0,0,0,20.2,102,348,27,0,8,0,3,9,3,1,19,16,22,29
B0D3,威勇B.S,B02,興農,14,10,4,0,0,0,4,5,0,0,1,57.0,258,1070,55,3,35,0,3,60,4,1,32,29,51,47
L0B6,陳揚凱,B02,興農,13,0,13,0,0,0,0,1,0,1,1,13.2,65,218,21,2,3,0,3,3,1,0,13,13,26,7
B0B8,李國慶,B02,興農,12,0,12,0,0,0,0,2,0,1,1,17.1,90,300,33,2,7,0,2,11,2,0,21,17,20,17
B0D4,竹清剛治,B02,興農,11,6,5,0,0,0,2,2,0,1,0,44.2,185,625,43,3,10,0,4,19,0,0,19,18,45,63
B0C8,鄭閔韓,B02,興農,6,0,6,0,0,0,0,0,0,0,0,9.0,43,142,9,3,4,0,3,7,0,0,8,6,6,14
B098,蔡仲南,B02,興農,3,1,2,0,0,0,0,1,0,0,0,6.0,31,120,8,0,5,0,0,5,0,0,6,5,6,7
A048,許志華,A02,Lamigo,35,7,28,2,0,0,4,7,4,1,0,94.0,386,1473,81,7,32,1,3,75,1,1,36,34,94,92
A062,黃俊中,A02,Lamigo,35,3,32,0,0,0,3,1,3,0,7,56.1,240,916,56,2,17,0,2,40,3,0,27,19,66,54
A001,李風華,A02,Lamigo,33,1,32,0,0,0,1,1,4,2,1,55.0,238,777,56,3,17,0,2,27,1,0,21,18,78,53
A002,許文雄,A02,Lamigo,33,4,29,0,0,0,2,4,3,1,3,70.1,300,1093,72,3,17,0,2,58,5,0,26,23,82,65
B0A2,魔銳R.M,A02,Lamigo,29,2,27,0,0,0,2,1,14,1,1,47.0,186,676,39,2,11,1,0,34,4,0,17,11,68,30
R030,蔡英峰,A02,Lamigo,26,17,9,0,0,0,11,5,2,0,1,109.2,448,1527,101,7,25,0,1,47,4,0,43,41,139,130
A042,吳偲佑,A02,Lamigo,25,23,2,3,1,1,17,3,0,0,1,139.0,578,2183,129,5,38,0,1,142,1,1,40,35,130,121
A065,雷鵬K.R,A02,Lamigo,24,24,0,1,0,0,16,5,0,0,0,162.2,692,2649,139,4,63,0,10,120,8,0,55,35,228,114
A000,梁如豪,A02,Lamigo,18,2,16,0,0,0,0,2,1,0,0,41.1,188,620,54,2,15,0,1,16,3,0,18,15,63,38
A031,許志昌,A02,Lamigo,12,0,12,0,0,0,0,0,0,0,0,18.0,86,268,25,0,7,0,0,12,1,0,16,14,25,17
A071,飛銳A.F,A02,Lamigo,7,6,1,0,0,0,2,3,0,0,0,37.0,166,560,44,4,10,0,0,15,2,0,23,17,62,31
A064,馬丁尼茲G.M,A02,Lamigo,7,7,0,0,0,0,2,2,0,0,0,34.0,159,578,35,2,23,0,3,15,2,0,21,16,53,25
A049,林士欽,A02,Lamigo,4,0,4,0,0,0,0,0,0,0,0,6.1,31,98,7,0,4,0,1,1,1,0,4,3,11,7
A070,巴克斯M.V,A02,Lamigo,3,2,1,0,0,0,1,0,0,0,0,7.1,37,135,8,0,8,0,2,3,1,0,6,6,11,4
A043,萊特C.W,A02,Lamigo,2,2,0,0,0,0,1,0,0,0,0,10.0,51,191,11,0,9,0,1,8,1,0,5,3,10,9
A037,徐余偉,A02,Lamigo,1,0,1,0,0,0,0,0,0,0,0,0.0,1,3,1,0,0,0,0,0,0,0,1,1,0,0
