ID,Name,Team ID,Team Name,G,GS,GR,CG,SHO,NBB,W,L,SV,BS,HLD,IP,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,FO
W0C1,杜章偉,W01,中信,48,6,42,0,0,0,1,7,2,2,6,96.0,404,1442,100,7,17,0,7,69,1,0,41,35,106,105
R081,倪福德,W01,中信,44,14,30,1,1,1,7,12,4,3,7,122.1,508,2012,111,15,35,1,6,125,2,1,56,48,113,117
W0B9,沈鈺傑,W01,中信,35,18,17,1,0,0,8,6,1,3,2,130.0,571,2211,144,7,28,3,10,92,2,0,69,55,154,140
W0E8,勞力士,W01,中信,35,27,8,3,0,1,8,9,0,0,3,194.1,815,3003,196,19,33,3,4,143,3,1,82,67,255,181
W0A4,羅健銘,W01,中信,32,0,32,0,0,0,1,0,0,2,2,27.2,128,491,27,2,14,0,3,20,0,0,18,16,30,34
W0F2,凱文,W01,中信,30,0,30,0,0,0,4,3,9,3,0,38.1,167,659,37,2,15,1,2,52,2,0,14,12,43,17
W0C5,朱尉銘,W01,中信,29,6,23,0,0,0,7,2,0,2,1,64.0,277,945,74,6,12,1,3,32,2,0,25,23,88,67
W060,柳裕展,W01,中信,23,0,23,0,0,0,0,0,0,1,0,27.0,146,571,46,4,15,0,2,25,3,0,42,31,30,28
W0D8,蘇哲毅,W01,中信,20,9,11,0,0,0,2,3,0,0,0,58.0,275,1005,82,5,30,0,3,39,2,0,44,37,65,56
W0B6,曾兆豪,W01,中信,18,12,6,0,0,0,4,3,0,1,2,68.1,310,1124,85,11,19,1,2,25,0,0,41,34,94,84
W001,高建三,W01,中信,18,5,13,0,0,0,1,4,0,0,0,33.2,169,605,55,3,16,0,2,22,0,0,36,30,38,35
W0E5,沙拉登,W01,中信,15,0,15,0,0,0,2,1,6,1,1,13.2,63,231,16,1,4,1,1,13,0,0,7,2,21,7
W0F1,克里斯,W01,中信,2,2,0,0,0,0,1,1,0,0,0,7.1,41,172,10,0,9,0,1,3,1,0,9,7,4,14
W0D0,鄭志強,W01,中信,2,0,2,0,0,0,0,0,0,0,0,5.0,22,76,3,1,3,0,1,0,0,0,2,1,5,10
W0F0,喬帥,W01,中信,1,1,0,0,0,0,0,1,0,0,0,1.1,11,41,4,0,2,0,1,0,0,0,5,4,1,3
G002,李明進,G01,誠泰,59,1,58,0,0,0,2,5,1,2,11,78.1,355,1218,107,3,9,2,2,39,2,0,54,44,135,61
G089,米克,G01,誠泰,47,3,44,0,0,0,5,2,9,2,2,70.0,292,1114,66,6,16,1,4,60,3,0,28,23,81,64
G001,黃欽智,G01,誠泰,44,0,44,0,0,0,1,1,2,3,9,39.2,144,521,22,3,6,0,1,19,0,0,10,8,60,36
G005,楊騏嘉,G01,誠泰,36,0,36,0,0,0,1,0,0,0,4,61.1,298,998,95,7,13,0,5,35,2,0,65,57,90,60
R000,張賢智,G01,誠泰,32,21,11,2,0,0,12,9,0,1,2,130.1,566,2153,137,9,37,0,7,98,5,1,84,70,126,161
G075,陳家鴻,G01,誠泰,27,2,25,0,0,0,4,1,0,0,2,59.1,255,890,66,7,8,0,6,35,1,0,31,27,59,81
G095,傑樂米,G01,誠泰,21,13,8,1,0,0,6,9,0,0,1,78.0,356,1263,90,7,30,0,4,42,4,0,51,44,124,66
G039,許竹見,G01,誠泰,21,11,10,0,0,0,2,6,4,0,1,71.0,312,1117,79,4,22,1,2,56,4,0,35,27,90,62
R063,林敬民,G01,誠泰,17,12,5,0,0,0,2,4,0,0,0,65.2,320,1069,102,9,27,0,4,28,3,2,67,60,99,60
G003,莊景賀,G01,誠泰,15,0,15,0,0,0,1,0,0,1,2,16.2,75,272,19,1,6,0,2,5,0,0,14,12,24,19
G000,蔡士勤,G01,誠泰,11,1,10,0,0,0,0,1,0,0,0,14.2,75,236,25,3,5,0,1,10,0,0,21,13,17,17
G098,安迪,G01,誠泰,10,8,2,1,0,0,1,4,0,1,0,46.1,196,724,44,4,9,0,1,29,3,0,27,18,69,44
G096,派特,G01,誠泰,9,9,0,0,0,0,2,4,0,0,0,53.0,232,781,65,6,14,0,2,25,0,0,32,26,95,31
R092,林紹凱,G01,誠泰,7,0,7,0,0,0,0,0,0,0,0,10.2,46,144,14,1,4,0,0,3,1,0,6,6,18,7
G091,金濟斌,G01,誠泰,7,6,1,0,0,0,2,3,0,0,0,27.2,142,535,37,1,17,0,4,15,2,0,23,16,41,27
G099,卡斯帝,G01,誠泰,6,4,2,0,0,0,0,4,0,0,0,21.1,105,356,36,2,1,0,2,11,1,0,23,18,23,32
G094,羅德,G01,誠泰,4,3,1,0,0,0,1,1,0,0,0,14.1,69,275,19,0,12,0,2,8,1,0,10,10,17,11
G041,克萊柏,G01,誠泰,4,4,0,0,0,0,2,0,0,0,0,15.1,67,271,18,1,3,0,0,9,0,0,11,9,20,17
G093,威爾,G01,誠泰,3,2,1,0,0,0,0,1,0,0,0,5.0,34,141,11,1,9,0,1,3,0,0,8,8,8,2
L026,曹竣崵,L01,統一7-ELEVEn,44,4,40,0,0,0,4,7,8,3,0,68.2,306,1156,84,6,13,6,2,31,3,0,40,28,115,55
L0F7,顏淳浩,L01,統一7-ELEVEn,39,0,39,0,0,0,0,0,1,0,1,34.2,155,582,37,2,12,0,3,21,0,0,19,18,38,44
R052,潘俊榮,L01,統一7-ELEVEn,34,0,34,0,0,0,2,1,1,2,4,33.0,140,504,28,0,10,0,0,27,3,0,21,18,39,36
L0C5,沈柏蒼,L01,統一7-ELEVEn,32,0,32,0,0,0,1,2,1,2,7,29.0,120,487,26,1,3,3,0,30,0,0,13,9,28,30
R016,林正豐,L01,統一7-ELEVEn,29,3,26,0,0,0,2,0,1,1,2,50.2,246,841,73,4,23,1,1,28,4,0,41,33,67,53
L0H9,彼得,L01,統一7-ELEVEn,26,26,0,7,3,2,14,7,0,0,0,190.1,754,2595,173,5,22,0,6,107,3,0,54,43,318,128
L0D6,張志強,L01,統一7-ELEVEn,22,12,10,0,0,0,3,5,0,0,0,78.2,369,1340,99,6,33,3,10,47,1,0,48,46,109,68
B076,高龍偉,L01,統一7-ELEVEn,22,0,22,0,0,0,0,2,3,1,1,18.1,99,359,30,4,13,0,1,10,0,0,25,23,15,30
L0C8,潘威倫,L01,統一7-ELEVEn,21,21,0,0,0,0,16,2,0,0,0,123.1,506,1838,126,7,17,0,7,79,0,0,33,31,137,140
L0B5,曾翊誠,L01,統一7-ELEVEn,19,0,19,0,0,0,1,1,1,2,4,20.0,81,294,17,1,6,0,0,16,2,0,6,6,21,21
G000,蔡士勤,L01,統一7-ELEVEn,13,0,13,0,0,0,0,0,2,1,0,20.0,82,284,15,1,5,0,2,14,1,0,7,7,21,25
L0I1,布萊恩,L01,統一7-ELEVEn,13,13,0,0,0,0,7,3,0,0,0,82.0,351,1304,93,11,17,1,5,60,1,0,39,38,86,89
R065,鄭博壬,L01,統一7-ELEVEn,12,0,12,0,0,0,0,0,0,0,1,15.1,78,291,16,1,14,0,5,9,2,0,14,11,22,12
L0H8,柯德曼,L01,統一7-ELEVEn,8,7,1,0,0,0,3,4,1,0,0,46.0,202,794,52,9,17,0,1,28,1,0,30,23,56,48
L0I0,韋恩,L01,統一7-ELEVEn,7,4,3,0,0,0,1,2,0,0,1,23.1,113,431,27,2,13,1,0,18,3,0,20,12,31,23
L0H5,羅伯森,L01,統一7-ELEVEn,6,6,0,0,0,0,0,5,0,0,0,30.1,144,539,41,2,12,0,2,19,0,0,25,25,39,31
L0E8,林岳平,L01,統一7-ELEVEn,5,0,5,0,0,0,0,0,0,0,0,2.1,15,59,4,0,4,0,0,3,0,0,3,2,1,3
L0I2,費古洛,L01,統一7-ELEVEn,4,4,0,1,0,0,4,0,0,0,0,30.0,125,485,34,1,5,0,3,21,1,0,13,10,36,26
E096,王勁力,E01,兄弟,45,0,45,0,0,0,6,2,6,2,12,71.0,303,1206,72,8,18,3,3,61,3,0,32,26,58,88
E0D5,莊瑋全,E01,兄弟,41,1,40,0,0,0,2,4,5,4,1,67.1,303,1098,87,8,18,2,3,40,3,0,53,48,83,70
E0G2,泰德,E01,兄弟,33,0,33,0,0,0,5,1,13,4,2,56.0,231,845,56,0,9,4,1,38,2,0,15,15,77,46
E060,吳俊億,E01,兄弟,30,4,26,0,0,0,4,4,1,0,1,55.1,271,950,74,2,23,2,7,27,0,0,41,35,84,54
R034,葉詠捷,E01,兄弟,29,14,15,0,0,0,5,7,0,2,0,79.0,372,1479,94,7,43,0,8,73,7,0,57,45,84,70
E0F1,喬伊,E01,兄弟,27,25,2,0,0,0,10,7,1,0,1,144.0,625,2529,134,16,71,1,2,153,12,0,68,60,139,125
E0D9,劉俊男,E01,兄弟,26,11,15,0,0,0,7,6,0,0,0,82.0,400,1447,109,8,48,1,2,39,11,0,69,62,104,97
E0F5,葉丁仁,E01,兄弟,23,4,19,0,0,0,1,4,0,1,1,43.1,226,886,52,5,45,0,2,39,7,1,46,37,31,57
E0E2,廖于誠,E01,兄弟,22,19,3,0,0,0,4,7,0,1,0,119.1,522,1951,115,2,46,1,11,68,5,0,60,44,178,103
E0D8,吳保賢,E01,兄弟,18,3,15,0,0,0,1,2,0,1,2,37.1,170,689,38,1,24,2,1,25,4,0,21,18,42,38
E0F6,尼克,E01,兄弟,16,14,2,0,0,0,2,4,0,0,0,67.0,310,1301,64,5,48,0,6,72,6,1,44,36,63,57
E088,蕭任汶,E01,兄弟,10,0,10,0,0,0,0,0,0,0,1,15.1,65,226,17,2,3,0,0,6,0,0,10,5,24,15
E0E7,田顯明,E01,兄弟,9,0,9,0,0,0,0,0,0,0,1,11.2,58,223,16,1,11,0,0,6,1,0,12,11,15,10
E0G0,大衛,E01,兄弟,4,1,3,0,0,0,0,1,0,0,1,3.2,18,67,4,0,1,0,2,4,0,0,5,5,7,0
E0G3,昂斯,E01,兄弟,4,3,1,0,0,0,2,0,0,1,0,22.0,85,314,19,0,5,1,1,17,0,0,4,4,26,16
A045,曼尼,E01,兄弟,3,1,2,0,0,0,0,0,0,0,0,4.1,19,73,3,0,4,0,1,3,0,0,3,3,6,2
E0F8,安德魯,E01,兄弟,1,0,1,0,0,0,0,1,0,0,0,0.0,5,25,4,0,1,0,0,0,0,0,4,4,0,0
A062,黃俊中,A02,Lamigo,41,7,34,0,0,0,9,5,12,4,0,83.2,354,1307,83,6,25,0,1,73,4,0,32,21,85,87
A001,李風華,A02,Lamigo,37,0,37,0,0,0,3,2,2,1,10,64.1,267,897,59,3,12,0,3,40,3,0,23,16,103,50
R030,蔡英峰,A02,Lamigo,35,11,24,0,0,0,4,3,7,0,2,81.2,367,1246,103,4,23,0,3,38,5,0,41,33,131,68
L0G4,江柏青,A02,Lamigo,33,0,33,0,0,0,4,3,2,3,3,39.1,173,739,31,5,18,1,9,27,1,0,19,14,50,37
A048,許志華,A02,Lamigo,28,4,24,0,0,0,2,4,0,0,1,46.1,231,861,73,6,14,1,2,28,1,0,34,29,56,57
A002,許文雄,A02,Lamigo,27,18,9,1,0,1,5,4,3,1,0,107.1,468,1679,122,9,30,0,3,71,4,1,60,49,119,123
A037,徐余偉,A02,Lamigo,27,14,13,0,0,0,9,3,1,0,1,113.1,467,1788,105,12,30,0,2,81,6,0,38,34,103,147
A076,銳斯,A02,Lamigo,26,23,3,1,1,0,12,5,0,0,1,143.1,619,2307,160,10,35,0,5,117,2,0,69,56,202,100
A000,梁如豪,A02,Lamigo,17,0,17,0,0,0,1,1,0,1,0,20.2,110,393,33,1,15,0,1,8,5,0,28,24,32,21
A031,許志昌,A02,Lamigo,17,0,17,0,0,0,0,0,0,0,0,27.0,123,406,30,4,14,0,3,13,1,0,19,16,37,26
A085,羅銳,A02,Lamigo,8,8,0,0,0,0,4,1,0,0,0,45.0,196,693,50,2,13,0,6,20,1,0,21,18,58,49
A087,鈴木誠,A02,Lamigo,8,1,7,0,0,0,2,2,4,1,0,21.0,87,340,17,1,7,0,1,18,1,0,10,9,23,21
A082,銳克,A02,Lamigo,6,4,2,0,0,0,1,3,0,0,0,23.1,111,404,31,2,8,0,3,17,0,0,17,13,28,24
B0A2,魔銳,A02,Lamigo,5,0,5,0,0,0,0,2,0,1,0,6.2,34,113,12,2,3,0,1,6,0,0,7,7,7,5
A079,猛克,A02,Lamigo,4,1,3,0,0,0,0,0,0,0,0,7.2,31,115,3,0,5,0,1,2,1,0,3,2,10,10
A080,馬帝茲,A02,Lamigo,4,3,1,0,0,0,0,2,1,0,0,15.1,75,260,21,1,9,0,0,8,4,0,12,12,18,19
A077,艾銳達,A02,Lamigo,4,3,1,0,0,0,1,1,0,0,0,23.0,96,342,20,2,9,0,2,14,1,0,9,9,32,19
A084,坎諾,A02,Lamigo,3,0,3,0,0,0,0,0,0,0,0,5.2,26,89,10,1,1,0,0,5,0,0,5,5,4,6
A078,銳猛,A02,Lamigo,2,2,0,0,0,0,1,0,0,0,0,9.0,38,142,10,2,1,0,1,3,0,0,5,4,9,14
A071,飛銳,A02,Lamigo,2,1,1,0,0,0,0,1,0,0,0,3.1,19,68,4,0,4,0,1,0,0,0,4,4,5,5
B094,郭勇志,B02,興農,54,0,54,0,0,0,3,6,13,4,3,57.0,259,980,68,5,20,4,3,49,2,0,35,26,57,58
B0D9,栗田雄介,B02,興農,47,10,37,0,0,0,6,6,0,4,6,100.2,454,1762,108,14,40,0,6,76,2,0,71,61,106,118
B0D2,剛雷,B02,興農,45,22,23,1,0,0,9,8,7,2,3,177.0,748,2573,184,7,32,2,15,109,6,0,90,76,239,167
B0B8,李國慶,B02,興農,36,2,34,0,0,0,1,4,0,0,0,63.1,295,1014,75,6,26,2,5,26,8,0,47,42,107,54
B0A4,余文彬,B02,興農,36,4,32,0,0,0,3,2,0,1,9,59.2,274,985,69,3,25,2,2,40,8,1,40,35,87,49
B0A6,陽建福,B02,興農,27,22,5,0,0,0,7,11,1,0,1,132.0,584,2034,152,9,40,0,7,94,2,0,68,54,215,76
B0D8,井場友和,B02,興農,24,23,1,3,0,0,9,9,1,0,0,138.0,591,2148,148,7,32,1,6,97,9,2,66,41,187,120
B0C6,杜寅傑,B02,興農,21,2,19,0,0,0,1,2,0,1,0,24.1,122,528,29,5,19,0,1,15,2,0,26,22,26,32
B0D7,芝草宇宙,B02,興農,16,1,15,0,0,0,2,2,1,1,3,24.2,117,414,36,3,5,1,6,12,0,0,18,16,41,16
B098,蔡仲南,B02,興農,15,11,4,0,0,0,1,4,0,0,0,48.2,229,875,56,5,26,0,3,19,3,1,35,29,58,67
R060,胡竣傑,B02,興農,14,1,13,0,0,0,0,1,0,0,0,15.0,73,269,19,2,11,0,1,9,2,1,12,12,16,17
B0C7,盧銘銓,B02,興農,12,0,12,0,0,0,0,0,0,0,1,20.1,96,356,21,4,11,0,1,12,1,1,18,17,27,24
B0E0,飛雷,B02,興農,3,2,1,0,0,0,0,2,0,0,1,8.0,46,149,13,1,5,0,1,1,2,0,13,10,13,13
R062,胡軒溢,B02,興農,1,0,1,0,0,0,0,0,0,0,0,1.0,7,21,3,0,1,0,0,0,1,0,2,2,1,2
R154,陳彥銘,B02,興農,1,0,1,0,0,0,0,0,0,0,0,2.0,14,44,7,0,1,0,0,0,2,0,6,6,0,6
