ID,Name,Team ID,Team Name,G,GS,GR,CG,SHO,NBB,W,L,SV,BS,HLD,IP,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,FO
N101,角田皆斗,z70,日本社會人,3,0,3,0,0,0,0,0,0,0,0,3.0,14,65,5,1,2,0,0,3,0,0,5,5,2,2
N104,臼井浩,z70,日本社會人,3,2,1,0,0,0,2,0,0,0,0,12.0,47,188,6,1,6,0,0,16,0,0,1,1,14,5
N106,鈴木健矢,z70,日本社會人,3,2,1,0,0,0,0,0,0,0,0,9.0,37,169,6,0,4,0,0,9,0,0,2,2,12,6
N108,大野亨輔,z70,日本社會人,3,0,3,0,0,0,1,1,0,2,0,3.1,21,84,8,0,2,0,2,2,0,0,7,3,4,3
N110,勝野昌慶,z70,日本社會人,3,0,3,0,0,0,0,1,2,1,0,3.2,15,60,3,0,1,0,0,6,0,0,3,3,4,1
N113,猿渡眞之,z70,日本社會人,3,0,3,0,0,0,0,0,0,0,0,4.0,15,40,3,0,0,0,1,4,0,0,0,0,6,1
N102,生田目翼,z70,日本社會人,4,0,4,0,0,0,0,0,0,0,1,4.1,22,83,7,0,3,0,0,5,0,0,4,3,5,2
N103,堀誠,z70,日本社會人,4,4,0,0,0,0,2,1,0,0,0,24.0,90,328,15,0,5,0,1,22,0,0,4,3,28,19
N105,宮谷陽介,z70,日本社會人,4,0,4,0,0,0,0,0,0,0,0,4.0,15,61,4,0,0,0,0,3,0,0,0,0,4,4
N109,本多裕哉,z70,日本社會人,4,0,4,0,0,0,0,0,0,0,0,4.0,14,58,1,0,1,0,0,5,0,0,0,0,6,1
N111,若林篤志,z70,日本社會人,4,0,4,0,0,0,0,0,0,0,3,6.0,23,92,3,1,2,0,0,5,0,0,1,1,4,9
N114,高橋拓已,z70,日本社會人,4,0,4,0,0,0,0,0,0,1,0,7.0,29,121,6,0,3,0,0,7,1,0,2,2,9,4
N115,吉川峻平,z70,日本社會人,4,2,2,0,0,0,2,1,0,0,0,13.0,47,202,7,0,4,0,0,16,1,0,3,3,14,6
N107,岡野祐一郎,z70,日本社會人,5,5,0,0,0,0,1,0,0,0,0,28.0,110,431,26,1,4,0,1,38,1,0,9,6,22,19
N117,荒西祐大,z70,日本社會人,5,0,5,0,0,0,0,0,0,0,1,9.0,34,128,8,0,1,0,1,6,0,0,1,0,9,9
N112,平尾奎太,z70,日本社會人,6,3,3,0,0,0,2,0,0,0,0,20.0,81,315,14,0,5,0,1,21,0,0,5,2,24,16
N116,坂本光士郎,z70,日本社會人,8,1,7,0,0,0,2,0,1,0,1,14.0,52,212,8,0,8,0,0,19,2,0,2,2,9,8
B0K0,陳仕朋,z25,中職聯隊,3,3,0,0,0,0,0,0,0,0,0,13.0,54,216,10,0,6,0,0,7,2,0,3,3,23,8
E0N3,蔡齊哲,z25,中職聯隊,3,2,1,0,0,0,0,0,0,0,0,9.1,38,138,8,0,3,0,2,5,0,0,4,3,13,7
H377,洪聖欽,z25,中職聯隊,3,3,0,0,0,0,3,0,0,0,0,17.1,75,272,21,0,3,0,0,13,3,0,13,9,22,16
B0J2,彭世杰,z25,中職聯隊,4,0,4,0,0,0,0,1,0,0,0,5.1,23,94,6,0,1,0,0,3,0,0,2,2,2,11
E0N2,楊達翔,z25,中職聯隊,4,0,4,0,0,0,1,0,0,0,0,6.1,27,99,7,0,1,0,0,3,0,0,3,3,11,5
L0L8,江辰晏,z25,中職聯隊,4,3,1,0,0,0,2,1,0,0,1,17.0,71,284,15,1,7,0,1,17,3,0,6,4,13,18
L0O7,洪心騏,z25,中職聯隊,4,4,0,0,0,0,0,1,0,0,0,21.2,94,337,19,1,6,0,2,14,1,0,13,9,26,27
