ID,Name,Team ID,Team Name,G,GS,GR,CG,SHO,NBB,W,L,SV,HLD,IP,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,FO
0000006949,林詩翔,ZZZ389,台灣海,8,0,8,0,0,0,0,0,1,0,13.2,57,208,13,0,5,0,1,14,0,0,2,0,11,13
0000006917,謝葆錡,ZZZ389,台灣海,6,1,5,0,0,0,1,1,0,1,12.0,43,157,10,0,0,0,0,12,1,0,2,2,11,10
0000006723,張鈞守,ZZZ389,台灣海,5,0,5,0,0,0,1,0,0,1,5.0,20,80,2,0,3,0,0,5,0,0,0,0,6,4
0000007303,黃子豪,ZZZ389,台灣海,5,2,3,0,0,0,1,1,0,0,10.1,44,169,11,0,6,0,0,7,0,0,6,5,12,8
0000007068,郭俞延,ZZZ389,台灣海,4,4,0,0,0,0,1,1,0,0,18.0,80,311,19,0,9,0,0,10,1,0,11,10,23,19
0000006881,鄭亦軒,ZZZ389,台灣海,4,3,1,0,0,0,0,1,0,0,14.2,71,245,17,1,11,0,2,7,0,2,15,14,14,20
0000006833,陳宇宏,ZZZ389,台灣海,3,0,3,0,0,0,1,0,0,0,9.0,36,127,7,0,3,0,1,4,0,0,4,3,9,12
0000007092,林育辰,ZZZ389,台灣海,3,2,1,0,0,0,0,3,0,0,7.2,45,175,10,0,10,0,2,4,1,0,11,6,8,11
0000007080,姚恩多,ZZZ389,台灣海,3,3,0,0,0,0,0,2,0,0,11.0,53,211,13,0,10,0,0,3,0,0,10,8,13,14
0000007083,林柏佑,ZZZ389,台灣海,2,0,2,0,0,0,0,0,0,0,2.2,13,46,4,0,0,0,1,2,0,0,3,2,4,2
0000007468,林萬益,ZZZ389,台灣海,2,1,1,0,0,0,0,0,0,0,6.0,23,94,4,0,3,0,0,3,0,0,1,1,9,4
0000007067,曾奕翔,ZZZ389,台灣海,2,2,0,0,0,0,0,1,0,0,7.0,39,141,9,1,9,0,0,4,1,0,8,4,7,10
0000007357,星野恒太朗,ZZZ259,日職紅,8,0,8,0,0,0,1,1,0,1,9.0,47,200,9,2,10,0,2,14,2,0,9,9,3,9
0000007188,風間球打,ZZZ259,日職紅,7,0,7,0,0,0,0,1,0,3,8.2,48,199,5,0,15,0,2,8,8,0,10,7,7,11
0000007359,水口創太,ZZZ259,日職紅,7,0,7,0,0,0,0,1,2,1,9.0,43,151,15,0,2,0,0,5,0,0,9,8,13,8
0000007360,宮﨑颯,ZZZ259,日職紅,7,0,7,0,0,0,0,0,0,2,8.1,36,120,5,0,5,0,1,3,0,0,2,2,13,9
0000007366,今野瑠斗,ZZZ259,日職紅,6,0,6,0,0,0,0,2,0,1,8.2,46,199,14,0,8,0,0,5,0,0,6,6,6,13
0000007383,武田陸玖,ZZZ259,日職紅,4,0,4,0,0,0,0,0,0,0,4.0,14,72,0,0,1,0,0,8,0,0,0,0,3,2
0000007223,田中怜利Hammond,ZZZ259,日職紅,3,3,0,0,0,0,0,2,0,0,12.0,71,311,17,0,18,0,1,7,6,0,16,12,10,18
0000007356,木村大成,ZZZ259,日職紅,3,3,0,0,0,0,1,1,0,0,15.0,72,270,22,0,6,0,0,15,2,0,10,10,16,13
0000007362,野中天翔,ZZZ259,日職紅,3,2,1,0,0,0,0,1,0,0,10.2,52,198,16,1,4,0,2,9,1,0,12,10,13,8
0000007363,森山暁生,ZZZ259,日職紅,3,1,2,0,0,0,0,1,0,1,12.0,62,216,17,0,5,0,1,7,1,0,17,9,14,18
0000007364,椎葉剛,ZZZ259,日職紅,3,3,0,0,0,0,1,0,0,0,16.2,72,262,13,0,8,0,2,16,2,0,5,4,17,16
0000007365,津田淳哉,ZZZ259,日職紅,3,2,1,0,0,0,0,2,0,0,12.2,62,245,15,1,8,0,0,12,2,1,11,8,15,12
0000007358,藤田淳平,ZZZ259,日職紅,2,2,0,0,0,0,0,0,0,0,7.0,25,91,6,0,1,0,0,3,0,0,0,0,11,4
0000007475,岡植純平,ZZZ259,日職紅,2,0,2,0,0,0,0,0,0,1,2.2,17,68,3,0,3,0,1,1,0,0,4,3,6,3
0000007361,飛田悠成,ZZZ259,日職紅,2,0,2,0,0,0,0,0,0,0,2.0,10,40,0,0,4,0,0,1,1,0,0,0,3,2
