ID,Name,Team ID,Team Name,G,GS,GR,CG,SHO,NBB,W,L,SV,BS,HLD,IP,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,FO
005875,宮内春輝,z70,日本社會人,3,0,3,0,0,0,0,1,0,0,1,5.0,22,77,4,0,2,0,2,2,0,0,3,3,7,5
005881,菊池大樹,z70,日本社會人,3,0,3,0,0,0,1,0,0,0,1,7.1,26,88,6,0,1,1,0,8,0,0,1,1,7,4
005896,阿部陽登,z70,日本社會人,5,2,3,0,0,0,0,0,0,1,1,10.1,44,197,13,3,2,0,0,13,1,0,11,11,10,6
005898,立石悠汰,z70,日本社會人,5,3,2,0,0,0,0,2,0,0,0,10.2,57,203,17,0,5,1,1,4,0,0,9,6,20,10
005876,近藤凌太,z70,日本社會人,6,1,5,0,0,0,3,0,1,0,0,15.0,63,254,11,0,8,0,0,9,1,0,5,5,14,21
005877,栗林良吏,z70,日本社會人,6,0,6,0,0,0,1,0,4,0,0,14.1,55,197,8,0,4,0,0,25,0,0,1,1,13,5
005880,中川一斗,z70,日本社會人,6,1,5,0,0,0,0,1,0,0,3,15.2,66,250,15,2,5,0,1,16,1,0,10,10,11,18
005878,岩本喜照,z70,日本社會人,7,4,3,0,0,0,2,0,1,1,0,29.1,113,477,24,3,5,0,0,30,0,0,9,8,29,25
005879,本田洋平,z70,日本社會人,7,2,5,0,0,0,0,0,0,1,1,16.2,72,269,16,2,8,0,1,15,2,0,6,6,14,18
005897,森田駿哉,z70,日本社會人,7,4,3,0,0,0,3,0,0,0,0,27.1,110,391,22,1,8,0,2,22,2,0,8,7,40,16
005844,鈴木翔天,ZZZ259,日職紅隊,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005846,伊藤翔,ZZZ259,日職紅隊,4,4,0,0,0,0,2,1,0,0,0,21.0,90,300,19,2,5,0,0,19,0,1,8,5,24,23
005924,木村敏靖,ZZZ259,日職紅隊,4,0,4,0,0,0,0,0,0,0,0,6.0,30,107,7,0,2,0,2,5,1,0,3,3,8,6
005839,古谷優人,ZZZ259,日職紅隊,5,4,1,0,0,0,1,0,0,0,0,19.2,84,349,14,1,9,0,2,21,2,0,8,3,27,11
005847,清水昇,ZZZ259,日職紅隊,5,4,1,0,0,0,1,2,0,0,1,18.1,86,334,24,1,7,0,1,21,0,1,11,9,16,17
005849,日隈Julius,ZZZ259,日職紅隊,5,2,3,0,0,0,2,0,0,0,1,15.0,59,246,9,0,3,0,3,11,0,0,2,1,15,18
005841,笠谷俊介,ZZZ259,日職紅隊,6,2,4,0,0,0,1,1,0,0,0,17.0,62,275,7,1,9,0,0,20,0,0,4,4,21,5
005842,重田倫明,ZZZ259,日職紅隊,7,0,7,0,0,0,0,0,0,0,0,8.2,42,168,11,1,5,0,0,9,0,0,9,9,10,7
005843,引地秀一郎,ZZZ259,日職紅隊,7,0,7,0,0,0,2,0,0,1,1,9.1,43,186,12,0,3,0,0,10,4,0,6,5,5,13
005840,尾形崇斗,ZZZ259,日職紅隊,10,0,10,0,0,0,0,0,3,0,1,11.2,43,201,6,1,3,0,0,23,0,0,1,1,6,5
005848,金久保優斗,ZZZ259,日職紅隊,10,0,10,0,0,0,1,0,0,1,3,11.1,48,184,10,2,4,0,0,11,0,0,5,3,17,6
005850,神戸文也,ZZZ259,日職紅隊,10,0,10,0,0,0,0,0,0,2,2,12.0,54,190,12,1,3,0,1,14,0,0,9,6,21,3
0000005539,曾柏融,D01,味全,1,1,0,0,0,0,0,0,0,0,0,2.0,10,32,2,0,2,0,0,1,1,0,3,2,3,2
0000005535,李宇翔,D01,味全,2,0,2,0,0,0,0,0,0,0,0,2.0,11,37,6,2,1,0,0,1,0,0,4,4,1,2
0000005555,陳冠偉,D01,味全,2,0,2,0,0,0,0,0,0,0,1,1.2,7,28,3,0,0,0,0,2,0,0,0,0,0,2
0000003554,林旺億,D01,味全,2,0,2,0,0,0,0,0,0,0,0,2.0,7,25,0,0,2,0,0,1,1,0,0,0,4,0
0000005537,劉宇鈞,D01,味全,3,0,3,0,0,0,0,0,0,0,0,5.1,24,76,5,0,2,0,1,4,0,0,2,0,6,6
0000005541,郭郁政,D01,味全,3,3,0,0,0,0,0,2,0,0,0,12.1,58,163,19,2,1,0,1,3,0,1,12,10,19,15
0000002719,歳内宏明,D01,味全,3,3,0,0,0,0,1,2,0,0,0,13.2,59,218,15,0,4,0,2,13,2,0,7,4,18,7
0000005543,徐若熙,D01,味全,4,4,0,0,0,0,1,0,0,0,0,15.2,65,244,17,0,2,0,0,12,1,0,9,8,16,18
0000005918,巴里歐茲,D01,味全,4,4,0,0,0,0,0,1,0,0,0,16.0,67,239,16,0,2,0,0,16,0,0,8,1,21,12
