ID,Name,Team ID,Team Name,G,PA,AB,RBI,R,H,1B,2B,3B,HR,TB,SO,SB,GIDP,SH,SF,BB,IBB,HBP,CS,GO,FO
B017,黃忠義,B02,興農,88,375,325,51,52,115,85,19,0,11,167,30,23,8,2,2,38,1,7,9,87,95
B083,鄭兆行,B02,興農,88,355,320,30,32,78,56,18,2,2,106,31,8,2,4,3,26,0,2,3,102,112
T006,林仲秋,B02,興農,86,345,302,45,40,85,52,17,1,15,149,45,2,11,0,3,34,1,5,2,87,88
D037,葉君璋,B02,興農,85,298,273,22,28,72,62,10,0,0,82,41,2,6,4,0,17,0,4,4,90,70
L014,陳文賓,B02,興農,84,304,276,46,36,72,42,17,2,11,126,41,18,7,1,3,20,3,1,6,87,79
W035,胡長豪,B02,興農,83,340,310,22,44,76,65,9,1,1,90,22,18,5,7,0,20,1,2,8,115,97
D047,張泰山,B02,興農,78,303,280,38,39,71,49,10,1,11,116,38,11,10,0,3,16,0,4,3,94,80
B086,曾華偉,B02,興農,75,148,140,13,21,38,30,8,0,0,46,26,7,5,3,0,2,0,3,1,51,25
W007,闕樹木,B02,興農,73,199,181,14,18,32,23,6,1,2,46,37,6,3,6,0,10,1,1,3,68,44
B077,羅松永,B02,興農,64,163,152,17,16,38,28,9,0,1,50,32,1,2,4,0,4,0,3,1,46,36
D055,陳金茂,B02,興農,39,136,117,9,20,31,23,6,1,1,42,10,4,4,4,0,14,1,0,2,39,37
B087,張家浩,B02,興農,37,91,84,8,8,19,15,2,2,0,25,21,2,0,1,0,5,0,1,2,28,16
B078,陳宗甫,B02,興農,34,68,60,6,9,17,17,0,0,0,17,3,1,1,1,1,6,0,0,2,22,19
D065,陳炳男,B02,興農,33,38,36,7,8,12,11,0,0,1,15,8,9,0,0,0,1,0,1,3,7,9
W000,林鴻遠,B02,興農,28,54,54,6,6,14,8,5,0,1,22,10,1,3,0,0,0,0,0,1,15,15
D080,武建州,B02,興農,27,46,39,5,9,8,7,0,0,1,11,9,1,0,0,1,4,0,2,2,13,10
B088,高健龍,B02,興農,21,41,37,4,6,7,4,1,0,2,14,13,0,1,3,0,1,0,0,0,9,8
B075,劉忠岳,B02,興農,17,40,35,3,4,11,10,1,0,0,12,4,0,2,1,1,3,0,0,0,14,7
B090,施昭同,B02,興農,11,9,9,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,2,3
L087,黃甘霖,L01,統一7-ELEVEn,88,382,344,24,52,107,88,15,1,3,133,31,42,1,4,3,21,3,7,14,109,100
B045,張文宗,L01,統一7-ELEVEn,87,336,280,37,32,65,40,17,4,4,102,54,3,5,5,4,40,2,5,2,92,73
L009,羅敏卿,L01,統一7-ELEVEn,82,317,260,44,30,83,50,21,1,11,139,61,1,6,0,2,37,5,12,2,54,64
B028,王傳家,L01,統一7-ELEVEn,79,260,213,23,28,58,44,11,2,1,76,14,3,4,5,2,36,3,1,4,74,69
L0A3,吳佳榮,L01,統一7-ELEVEn,79,147,130,9,28,25,21,3,1,0,30,22,14,2,4,0,13,0,0,4,47,36
E020,陳琦豐,L01,統一7-ELEVEn,76,196,173,14,19,36,29,4,3,0,46,19,3,7,12,1,10,0,0,1,74,45
D067,蔡昆祥,L01,統一7-ELEVEn,71,215,195,12,16,52,36,11,3,2,75,35,3,2,10,1,7,0,2,3,61,48
L013,羅國璋,L01,統一7-ELEVEn,71,260,215,19,10,49,46,3,0,0,52,17,2,4,27,2,15,0,1,2,89,62
D076,許聖杰,L01,統一7-ELEVEn,70,249,221,30,20,49,31,13,2,3,75,37,4,4,7,4,15,0,2,4,62,77
L0A2,柯建鋒,L01,統一7-ELEVEn,69,84,75,7,17,15,7,4,4,0,27,15,3,0,0,1,8,0,0,5,26,20
L088,吳昭輝,L01,統一7-ELEVEn,66,228,203,18,18,48,36,11,0,1,62,27,3,7,4,3,15,0,3,2,66,65
L0A5,蘇煒智,L01,統一7-ELEVEn,65,124,106,4,14,25,21,3,0,1,31,24,4,2,5,0,9,0,4,4,35,22
L083,高正偉,L01,統一7-ELEVEn,61,112,96,8,11,18,14,4,0,0,22,22,1,1,6,1,8,0,1,1,38,19
L037,陳政賢,L01,統一7-ELEVEn,59,165,147,21,13,34,24,5,2,3,52,26,3,4,0,0,17,0,1,0,41,46
L064,周森毅,L01,統一7-ELEVEn,40,59,45,4,5,9,8,1,0,0,10,7,3,2,3,1,7,0,3,1,18,12
L002,賴崇光,L01,統一7-ELEVEn,38,76,65,2,2,19,17,2,0,0,21,7,2,3,5,0,5,0,1,1,22,17
W000,林鴻遠,L01,統一7-ELEVEn,33,125,109,23,20,36,20,8,0,8,68,16,3,5,0,1,12,1,2,1,29,29
L0B3,高政華,L01,統一7-ELEVEn,10,25,20,3,4,4,3,1,0,0,5,6,0,0,2,1,2,0,0,0,6,5
L022,曾智偵,L01,統一7-ELEVEn,7,25,21,2,1,7,5,2,0,0,9,2,0,0,1,1,2,0,0,0,9,4
E041,陳懷山,E01,兄弟,90,406,337,33,41,81,66,11,2,2,102,56,7,5,12,3,50,0,4,3,126,77
E0B5,馮勝賢,E01,兄弟,90,389,337,34,42,98,79,11,3,5,130,35,15,6,17,3,28,1,3,5,127,80
E075,陳瑞振,E01,兄弟,85,389,333,27,46,91,75,12,4,0,111,34,13,8,8,2,41,1,4,3,140,70
T067,蔡豐安,E01,兄弟,84,336,288,39,41,66,47,8,2,9,105,66,2,4,6,2,29,0,11,1,76,82
E0A4,林明憲,E01,兄弟,79,326,277,33,33,78,63,11,3,1,98,23,19,3,5,4,34,0,6,7,92,88
E000,陳瑞昌,E01,兄弟,67,234,205,26,20,58,45,10,0,3,77,21,1,7,3,1,13,2,10,0,64,63
E004,林易增,E01,兄弟,67,201,170,13,29,41,37,4,0,0,45,23,10,1,9,1,20,1,0,4,57,50
E0A5,許誌為,E01,兄弟,62,178,160,5,19,41,33,7,1,0,50,11,1,4,3,0,13,0,2,2,72,36
B032,張協進,E01,兄弟,49,163,150,17,17,26,19,6,0,1,35,22,1,6,5,1,7,0,0,1,62,41
D089,郭一峰,E01,兄弟,43,105,88,15,11,13,10,1,0,2,20,28,1,0,8,0,8,0,1,0,24,23
E079,洪德芳,E01,兄弟,41,96,86,2,5,12,10,1,1,0,15,33,2,1,4,1,4,0,1,1,22,20
E0B9,李志傑,E01,兄弟,39,164,150,20,23,49,38,6,1,4,69,28,5,6,0,2,8,0,4,0,44,31
E0B7,王金勇,E01,兄弟,38,150,139,24,10,41,31,7,1,2,56,18,2,7,2,0,8,0,1,0,43,37
E0B8,許閔嵐,E01,兄弟,35,136,118,14,9,31,25,3,0,3,43,19,0,1,0,1,15,0,2,0,38,31
E026,王光輝,E01,兄弟,30,112,105,17,8,27,21,6,0,0,33,18,1,3,0,0,7,0,0,1,20,40
E093,吳柏勳,E01,兄弟,15,31,26,0,1,4,4,0,0,0,4,8,0,0,2,0,3,0,0,0,10,4
B074,王崇耀,E01,兄弟,10,11,10,0,2,2,2,0,0,0,2,1,0,0,0,0,1,0,0,0,3,4
T0B5,王志偉,E01,兄弟,9,26,21,3,3,5,4,1,0,0,6,6,0,2,1,0,4,0,0,0,8,2
E0B6,蒲慶哲,E01,兄弟,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
E0B4,陳俊義,E01,兄弟,2,2,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
T064,林岳亮,W01,中信,86,343,303,27,27,78,64,13,1,0,93,31,7,6,17,1,20,0,2,5,119,76
