ID,Name,Team ID,Team Name,G,PA,AB,RBI,R,H,1B,2B,3B,HR,TB,SO,SB,GIDP,SH,SF,BB,IBB,HBP,CS,GO,FO
0000002599,劉芙豪,ADD,統一7-ELEVEn,119,495,433,59,50,121,90,20,1,10,173,86,31,12,4,2,50,1,6,15,128,101
0000002601,高國慶,ADD,統一7-ELEVEn,106,460,408,47,46,111,87,20,1,3,142,63,1,14,0,4,42,4,6,1,116,122
0000002608,郭岱琦,ADD,統一7-ELEVEn,93,346,312,50,38,93,70,11,3,9,137,48,2,5,0,4,26,2,4,1,91,84
0000002655,馬修,ADD,統一7-ELEVEn,84,345,317,35,41,94,66,19,1,8,139,27,8,7,0,1,26,5,1,1,87,110
0000002610,高志綱,ADD,統一7-ELEVEn,80,287,256,25,28,59,44,14,1,0,75,45,6,11,5,1,18,0,7,3,90,63
0000002967,許峰賓,ADD,統一7-ELEVEn,77,163,138,10,16,28,26,2,0,0,30,33,8,5,6,1,18,0,0,4,50,28
0000003899,楊松弦,ADD,統一7-ELEVEn,72,227,202,14,24,53,46,5,2,0,62,25,11,5,3,2,19,0,1,4,72,54
0000003273,周廣勝,ADD,統一7-ELEVEn,69,211,185,12,18,44,35,6,2,1,57,39,2,8,3,0,19,0,4,3,60,42
0000000784,莊景賀,ADD,統一7-ELEVEn,63,146,126,13,17,33,28,4,0,1,40,30,10,0,7,0,13,0,0,1,34,29
0000002598,陽東益,ADD,統一7-ELEVEn,60,167,144,11,16,35,29,5,1,0,42,31,7,2,8,0,14,0,1,2,31,47
0000003201,郭俊佑,ADD,統一7-ELEVEn,59,198,176,17,16,40,28,9,0,3,58,60,2,5,0,0,15,0,7,2,34,42
0000003906,陳連宏,ADD,統一7-ELEVEn,58,194,168,10,16,33,23,8,0,2,47,36,0,5,0,2,22,0,2,0,48,53
0000002548,黃甘霖,ADD,統一7-ELEVEn,50,150,129,8,14,24,19,4,1,0,30,16,8,5,1,1,19,0,0,6,55,35
0000002658,亨利,ADD,統一7-ELEVEn,50,226,201,11,26,50,36,10,3,1,69,42,22,0,2,0,20,0,3,4,49,60
0000003350,劉育辰,ADD,統一7-ELEVEn,49,159,147,16,14,33,28,4,0,1,40,40,1,0,0,0,9,0,3,1,45,29
0000000515,許聖杰,ADD,統一7-ELEVEn,43,133,122,13,5,34,31,3,0,0,37,25,3,4,1,0,10,0,0,0,41,22
0000002947,鄭乃文,ADD,統一7-ELEVEn,36,100,91,6,3,14,9,5,0,0,19,20,1,2,0,1,8,0,0,0,27,31
0000002957,凃壯勳,ADD,統一7-ELEVEn,35,78,73,5,8,12,7,5,0,0,17,13,2,1,1,0,3,0,1,0,26,22
0000002600,陽森,ADD,統一7-ELEVEn,34,110,98,4,9,22,16,5,0,1,30,23,0,3,1,2,9,1,0,1,25,30
0000002614,施金典,ADD,統一7-ELEVEn,32,70,64,2,1,14,13,1,0,0,15,10,1,3,2,0,3,0,1,0,22,18
0000002626,潘武雄,ADD,統一7-ELEVEn,30,120,101,9,23,27,22,5,0,0,32,22,6,1,0,0,18,0,1,2,29,23
0000002574,高政華,ADD,統一7-ELEVEn,28,64,55,6,1,11,9,2,0,0,13,12,0,3,0,0,7,0,2,0,19,13
0000002595,王子菘,ADD,統一7-ELEVEn,27,81,75,6,7,16,9,5,1,1,26,20,0,0,1,0,5,0,0,0,15,24
0000002616,陳俊輝,ADD,統一7-ELEVEn,27,61,52,1,4,8,7,1,0,0,9,13,0,4,3,0,2,0,4,0,14,17
0000003277,林偉,ADD,統一7-ELEVEn,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0000000853,周思齊,ACC,兄弟,120,502,456,56,55,136,99,29,4,4,185,65,5,6,3,3,40,3,0,3,126,132
0000002950,陳冠任,ACC,兄弟,120,498,455,53,54,127,98,22,3,4,167,25,2,19,1,5,26,1,11,2,178,129
0000003211,王勝偉,ACC,兄弟,118,504,456,57,52,110,80,22,6,2,150,71,19,6,13,3,23,2,9,14,150,128
0000000667,彭政閔,ACC,兄弟,117,466,387,65,59,138,107,22,1,8,186,58,20,9,0,7,67,9,5,9,109,89
0000003395,張正偉,ACC,兄弟,114,458,408,22,64,121,96,17,8,0,154,45,15,6,3,4,33,2,10,10,150,96
0000003183,張志豪,ACC,兄弟,107,293,264,25,36,67,47,9,10,1,99,67,13,0,6,0,20,2,3,3,71,59
0000000854,黃仕豪,ACC,兄弟,107,378,351,26,34,85,71,13,1,0,100,43,8,3,8,2,13,0,4,8,99,126
0000002946,陳江和,ACC,兄弟,96,367,320,26,20,72,66,5,0,1,80,36,1,4,26,4,16,0,1,0,114,101
0000003056,簡富智,ACC,兄弟,83,165,141,7,18,28,21,6,1,0,36,26,12,1,7,0,10,0,7,5,51,36
0000000692,陳智弘,ACC,兄弟,75,217,195,23,18,42,22,17,1,2,67,45,1,10,9,1,11,0,1,1,74,35
0000003161,朱偉銘,ACC,兄弟,68,170,156,11,17,35,29,6,0,0,41,32,2,4,9,0,4,0,1,5,54,35
0000000476,葉君璋,ACC,兄弟,67,188,168,9,13,31,26,4,1,0,37,32,0,5,5,2,10,0,3,2,70,37
0000000858,陳致鵬,ACC,兄弟,50,101,95,6,11,22,19,3,0,0,25,16,0,2,3,0,2,0,1,2,42,15
0000003307,宇招任,ACC,兄弟,39,91,82,10,5,17,17,0,0,0,17,17,1,1,6,0,1,0,2,1,31,17
0000003192,方克偉,ACC,兄弟,37,57,52,3,2,12,11,1,0,0,13,12,0,1,0,1,3,0,1,0,18,11
0000003007,林家緯,ACC,兄弟,29,48,42,1,6,5,4,1,0,0,6,13,0,1,1,0,2,0,3,0,17,7
0000000663,王金勇,ACC,兄弟,24,39,37,5,2,8,8,0,0,0,8,9,0,0,0,0,2,0,0,0,3,17
0000003305,鍾承佑,AJK,Lamigo,120,491,466,64,59,134,88,28,8,10,208,80,9,13,1,4,15,2,5,4,102,154
0000000045,林智勝,AJK,Lamigo,117,497,443,79,71,138,92,23,2,21,228,105,12,8,0,3,43,4,8,5,98,105
0000003467,林泓育,AJK,Lamigo,105,407,380,66,40,115,83,22,2,8,165,62,1,14,1,4,16,1,6,0,98,109
0000003468,陳雁風,AJK,Lamigo,102,363,335,21,34,84,71,11,1,1,100,45,18,7,16,2,9,0,1,8,131,77
0000004030,詹智堯,AJK,Lamigo,96,304,265,31,32,75,66,4,2,3,92,40,10,6,5,2,26,1,6,9,81,71
0000003345,林智平,AJK,Lamigo,94,273,244,23,27,58,51,6,1,0,66,26,5,8,5,2,21,0,1,1,96,66
0000000064,陳金鋒,AJK,Lamigo,83,344,308,32,47,83,68,7,0,8,114,72,11,5,0,4,31,1,1,3,64,93
0000000250,張家浩,AJK,Lamigo,82,221,195,14,17,39,31,3,5,0,52,34,1,3,4,3,12,0,7,4,64,61
0000000273,余進德,AJK,Lamigo,82,240,224,20,27,57,46,9,0,2,72,32,4,13,2,0,14,0,0,2,80,55
0000000060,石彥緯,AJK,Lamigo,82,270,242,14,35,64,51,11,2,0,79,45,14,6,6,3,18,0,1,6,84,52
0000000041,曾豪駒,AJK,Lamigo,74,221,185,16,20,48,28,16,2,2,74,30,0,8,1,1,27,1,7,2,55,53
0000000040,蔡建偉,AJK,Lamigo,65,186,141,17,22,35,21,10,4,0,53,31,0,1,9,3,31,0,2,2,37,41
0000000034,張民諺,AJK,Lamigo,62,156,138,14,16,29,27,2,0,0,31,32,0,2,3,3,7,0,5,1,49,31
0000002956,黃浩然,AJK,Lamigo,58,137,132,7,11,21,15,4,1,1,30,31,0,2,1,1,3,0,0,0,31,50
0000000012,潘忠韋,AJK,Lamigo,54,151,143,23,14,32,27,4,0,1,39,31,1,2,0,2,6,0,0,1,45,37
0000000016,黃龍義,AJK,Lamigo,54,144,126,12,15,23,17,5,0,1,31,42,7,4,2,2,14,1,0,1,26,37
0000000033,石志偉,AJK,Lamigo,42,125,109,10,7,27,24,2,1,0,31,13,0,2,0,0,15,1,1,0,38,31
0000003008,劉家豪,AJK,Lamigo,16,39,34,4,1,10,8,2,0,0,12,7,0,1,2,0,3,0,0,0,12,5
0000003069,羅少鈞,AJK,Lamigo,10,20,19,1,2,2,2,0,0,0,2,7,0,1,0,0,1,0,0,0,5,5
0000003469,何信賢,AJK,Lamigo,8,23,22,0,2,1,1,0,0,0,1,5,0,0,0,0,1,0,0,0,15,1
0000000717,黃志祥,AJK,Lamigo,3,7,6,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,2,2
0000000486,張泰山,AEG,興農,119,505,453,78,73,142,103,23,0,16,213,42,7,13,0,5,39,2,8,10,142,132
0000000282,鄭達鴻,AEG,興農,117,471,417,54,62,116,93,16,4,3,149,41,31,6,7,7,31,2,9,10,144,123
0000000246,鄭兆行,AEG,興農,108,407,365,35,41,110,90,18,2,0,132,41,8,10,6,6,27,1,3,6,100,120
0000000280,許國隆,AEG,興農,108,378,350,51,29,101,73,24,1,3,136,50,0,12,5,3,16,1,4,2,115,87
0000003144,林益全,AEG,興農,107,438,406,55,61,134,102,22,2,8,184,52,4,14,0,2,29,5,1,4,131,91
0000000276,張建銘,AEG,興農,105,469,431,38,55,124,108,13,3,0,143,44,3,2,9,2,20,2,7,7,147,118
0000003225,吳宗峻,AEG,興農,96,354,308,32,41,89,64,19,3,3,123,52,5,7,5,1,35,1,5,5,98,70
0000000283,余賢明,AEG,興農,91,249,213,16,28,57,44,7,6,0,76,23,15,2,11,0,24,0,1,5,72,61
0000003966,王信民,AEG,興農,86,225,197,24,27,61,48,9,3,1,79,26,5,6,3,2,23,2,0,1,55,57
0000000847,威納斯,AEG,興農,81,316,277,34,39,66,46,17,1,2,91,31,3,14,0,6,28,3,5,2,92,94
0000000293,陳志偉,AEG,興農,77,194,175,27,22,43,36,6,1,0,51,22,2,4,5,2,11,1,1,0,65,47
0000000831,鄧蒔陽,AEG,興農,61,127,110,11,14,27,26,1,0,0,28,11,1,3,3,2,12,0,0,0,50,24
0000002945,林宗男,AEG,興農,59,207,188,10,19,41,36,5,0,0,46,33,4,7,7,3,9,0,0,3,61,56
0000000294,蘇建榮,AEG,興農,57,74,65,7,11,12,10,2,0,0,14,8,5,2,3,0,6,0,0,2,18,27
0000003239,藍少白,AEG,興農,37,86,80,5,7,22,18,4,0,0,26,9,0,2,1,1,4,0,0,1,34,16
0000003358,謝明宗,AEG,興農,35,48,41,3,9,9,7,1,1,0,12,12,1,0,3,0,3,0,1,1,12,8
0000003237,陳柏丞,AEG,興農,21,27,23,2,1,3,2,1,0,0,4,5,0,3,3,1,0,0,0,0,10,6
0000003472,林椲紘,AEG,興農,11,23,20,1,3,4,4,0,0,0,4,8,0,0,0,1,2,0,0,0,5,4
0000000324,古茲曼,AEG,興農,10,42,40,9,2,7,3,2,0,2,15,13,1,1,0,1,0,0,1,0,7,14
0000003192,方克偉,AEG,興農,2,5,5,0,1,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1
0000003359,張政憲,AEG,興農,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0000003025,鍾家寶,AEG,興農,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0000003077,黃光永,AEG,興農,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
