ID,Name,Team ID,Team Name,G,PA,AB,RBI,R,H,1B,2B,3B,HR,TB,SO,SB,GIDP,SH,SF,BB,IBB,HBP,CS,GO,FO
0000003338,高國輝,AEO,富邦,97,381,343,70,59,104,53,26,0,25,205,86,3,7,0,5,32,1,1,0,61,97
0000001118,高國麟,AEO,富邦,95,338,296,49,44,85,53,16,0,16,149,74,1,6,2,2,30,0,8,4,74,65
0000002352,范國宸,AEO,富邦,91,281,258,32,37,73,48,18,2,5,110,54,3,9,2,3,17,1,1,3,73,61
0000003336,林宥穎,AEO,富邦,83,253,229,30,23,59,43,11,2,3,83,50,0,4,12,2,10,0,0,1,67,55
0000000362,申皓瑋,AEO,富邦,78,250,229,27,32,64,41,14,1,8,104,72,6,5,2,0,13,1,6,1,52,41
0000003337,蔣智賢,AEO,富邦,74,308,275,45,48,85,60,12,0,13,136,52,0,15,0,1,28,2,3,0,84,55
0000003339,林哲瑄,AEO,富邦,73,261,220,32,43,64,46,9,0,9,100,50,14,4,1,2,28,0,10,3,37,71
0000002305,王正棠,AEO,富邦,67,204,191,16,28,49,35,10,1,3,70,31,7,1,1,1,8,0,3,3,42,70
0000003436,陳凱倫,AEO,富邦,66,189,167,27,22,47,33,11,2,1,65,35,3,7,5,1,11,0,5,1,52,34
0000003395,張正偉,AEO,富邦,65,227,195,20,39,58,48,6,2,2,74,42,5,6,2,1,26,0,3,4,50,46
0000005496,辛元旭,AEO,富邦,56,180,163,11,18,49,39,9,0,1,61,24,0,6,2,2,9,0,4,0,53,39
0000000910,張進德,AEO,富邦,53,220,201,30,31,69,48,12,0,9,108,22,0,6,0,0,19,2,0,0,49,61
0000004645,戴培峰,AEO,富邦,46,127,114,23,15,29,14,9,1,5,55,31,0,5,0,3,8,0,2,0,27,30
0000003615,胡金龍,AEO,富邦,41,176,158,31,31,49,36,7,0,6,74,21,5,2,1,4,13,1,0,1,47,45
0000000343,高孝儀,AEO,富邦,35,121,111,14,14,37,27,7,1,2,52,20,4,2,4,0,6,0,0,0,25,29
0000001217,于森旭,AEO,富邦,29,56,52,6,5,10,7,3,0,0,13,11,1,0,1,0,3,0,0,3,15,16
0000001284,陳品捷,AEO,富邦,22,42,39,6,7,7,4,1,0,2,14,10,0,2,0,1,2,0,0,0,9,14
0000000366,楊晉豪,AEO,富邦,21,57,54,6,4,9,7,1,0,1,13,18,0,1,0,0,2,0,1,0,12,15
0000003192,方克偉,AEO,富邦,12,20,18,2,0,1,1,0,0,0,1,2,0,1,0,0,0,0,2,0,10,5
0000001473,李宗賢,AEO,富邦,117,526,488,46,78,151,117,25,4,5,199,89,26,12,4,2,28,0,4,5,134,116
