ID,Name,Team ID,Team Name,G,PA,AB,RBI,R,H,1B,2B,3B,HR,TB,SO,SB,GIDP,SH,SF,BB,IBB,HBP,CS,GO,FO
0000000670,陳致遠,ACC,兄弟,96,405,360,49,49,91,58,20,1,12,149,70,11,10,4,2,36,1,3,0,73,128
0000000663,王金勇,ACC,兄弟,89,329,298,31,31,73,59,8,1,5,98,43,1,9,8,1,19,1,3,0,94,89
0000002950,陳冠任,ACC,兄弟,88,350,318,54,55,111,80,19,2,10,164,36,0,9,3,4,21,4,4,0,118,57
0000000661,馮勝賢,ACC,兄弟,81,344,293,25,37,81,70,7,2,2,98,43,6,6,22,1,24,0,4,6,102,68
0000000622,陳瑞振,ACC,兄弟,78,311,281,27,32,87,73,13,1,0,102,34,0,8,7,1,21,0,1,0,107,54
0000000547,陳瑞昌,ACC,兄弟,75,226,202,19,16,49,38,10,0,1,62,29,2,8,7,1,13,0,3,0,79,46
0000000675,朱鴻森,ACC,兄弟,75,225,201,8,33,46,37,6,1,2,60,30,1,5,5,0,13,0,6,3,67,58
0000002959,劉耿欣,ACC,兄弟,73,239,209,16,22,33,26,5,0,2,44,43,6,1,10,2,17,0,1,1,79,56
0000002949,黃正偉,ACC,兄弟,57,180,168,10,18,40,36,4,0,0,44,28,5,1,3,1,6,0,2,2,54,47
0000000588,陳懷山,ACC,兄弟,56,199,169,21,16,44,38,6,0,0,50,28,0,2,6,2,22,0,0,1,56,43
0000000667,彭政閔,ACC,兄弟,48,190,154,22,25,54,38,10,0,6,82,39,4,2,0,1,30,5,5,1,42,20
0000002943,楊博壬,ACC,兄弟,47,156,127,15,18,30,23,5,1,1,40,16,0,2,5,2,20,0,2,1,46,37
0000000664,許閔嵐,ACC,兄弟,44,107,95,5,6,23,19,4,0,0,27,26,0,2,0,0,12,0,0,0,29,17
0000000665,李志傑,ACC,兄弟,37,89,75,12,11,13,8,3,0,2,22,16,0,3,2,1,10,0,1,0,26,21
0000000692,陳智弘,ACC,兄弟,35,72,65,6,5,8,6,1,1,0,11,19,1,1,2,0,4,0,1,0,21,17
0000003798,蔡豐安,ACC,兄弟,35,144,124,20,16,33,23,3,3,4,54,26,0,3,4,3,10,0,3,0,28,40
0000000528,郭一峰,ACC,兄弟,32,78,70,10,6,11,7,3,1,0,16,24,0,3,5,0,3,0,0,0,23,12
0000000693,田顯明,ACC,兄弟,30,81,69,8,7,15,13,2,0,0,17,21,0,4,0,1,9,0,2,0,24,10
0000000651,許誌為,ACC,兄弟,21,39,34,1,1,10,10,0,0,0,10,5,1,1,1,1,3,0,0,0,13,7
0000000689,林馴偉,ACC,兄弟,14,15,15,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,0,1,8
0000000650,林明憲,ACC,兄弟,11,25,23,2,1,8,7,1,0,0,9,5,0,0,2,0,0,0,0,0,8,2
0000000680,彭政欣,ACC,兄弟,1,4,3,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1
0000000180,黃忠義,AEG,興農,100,417,367,52,37,125,102,17,2,4,158,33,2,16,3,5,35,1,7,1,118,96
0000000476,葉君璋,AEG,興農,100,341,303,32,22,75,63,11,1,0,88,38,0,15,17,3,12,0,6,1,111,82
0000000486,張泰山,AEG,興農,100,433,373,72,62,130,89,17,0,24,219,46,4,6,0,4,54,13,1,4,104,97
0000000283,余賢明,AEG,興農,97,360,315,29,46,92,75,14,3,0,112,37,27,5,13,3,28,2,1,14,117,72
0000000280,許國隆,AEG,興農,93,345,321,47,28,84,63,14,0,7,119,51,1,12,0,3,19,1,2,1,94,95
0000002945,林宗男,AEG,興農,90,219,196,21,34,44,38,3,2,1,54,35,8,6,3,2,17,0,1,4,70,49
0000000294,蘇建榮,AEG,興農,90,284,255,23,23,65,58,4,0,3,78,46,8,4,5,3,17,0,4,2,84,63
0000000249,曾華偉,AEG,興農,87,341,317,23,32,75,65,7,2,1,89,46,13,6,1,2,17,0,4,2,129,69
0000000276,張建銘,AEG,興農,79,341,310,20,48,88,70,13,3,2,113,39,3,1,7,0,17,0,7,3,119,64
0000000250,張家浩,AEG,興農,78,292,256,20,38,60,52,2,5,1,75,38,6,1,16,0,18,0,2,6,94,64
0000002578,曾揚志,AEG,興農,66,153,136,12,3,32,27,4,0,1,39,20,0,4,1,1,13,0,2,0,52,33
