ID,Name,Team ID,Team Name,G,PA,AB,RBI,R,H,1B,2B,3B,HR,TB,SO,SB,GIDP,SH,SF,BB,IBB,HBP,CS,GO,FO
E0C1,彭政閔,E02,中信兄弟,118,488,399,56,57,120,95,15,1,9,164,69,18,12,1,6,73,3,6,7,114,102
R457,張正偉,E02,中信兄弟,118,534,481,34,68,154,123,25,3,3,194,40,19,7,4,4,33,4,8,13,132,159
G073,黃仕豪,E02,中信兄弟,115,474,436,54,41,116,84,28,1,3,155,38,10,8,9,6,16,2,5,4,135,153
R244,張志豪,E02,中信兄弟,112,443,401,52,52,105,67,18,10,10,173,73,20,5,4,6,28,1,3,6,101,128
R272,王勝偉,E02,中信兄弟,108,383,343,21,36,87,71,16,0,0,103,58,21,10,13,1,17,0,9,5,84,114
G072,周思齊,E02,中信兄弟,102,377,332,42,30,92,72,15,1,4,121,56,6,4,1,3,37,2,2,1,78,109
R007,陳江和,E02,中信兄弟,93,285,243,28,21,61,48,11,0,2,78,31,1,4,18,2,19,0,3,1,89,64
E0J8,陳子豪,E02,中信兄弟,85,276,251,29,36,62,43,12,3,4,92,57,6,5,6,2,15,1,1,3,79,55
E0J9,陳家駒,E02,中信兄弟,58,144,134,11,10,27,15,7,0,5,49,37,0,1,4,0,5,0,1,0,25,45
E0E6,陳智弘,E02,中信兄弟,58,116,102,8,7,22,15,5,0,2,33,25,0,4,10,0,4,0,0,0,28,27
R610,黃鈞聲,E02,中信兄弟,54,152,147,11,17,37,30,6,0,1,46,31,1,8,1,0,4,0,0,0,40,39
E0K4,耐克,E02,中信兄弟,49,208,186,34,27,68,55,9,0,4,89,24,3,6,1,5,16,0,0,0,47,52
R410,郭健瑜,E02,中信兄弟,47,106,95,9,10,21,19,1,1,0,24,23,1,0,4,1,6,0,0,2,24,28
E0K0,林威助,E02,中信兄弟,42,113,100,11,5,19,17,1,0,1,23,9,0,6,0,1,9,2,1,0,37,36
R117,簡富智,E02,中信兄弟,40,39,34,0,7,6,4,2,0,0,8,8,1,0,1,0,2,0,2,2,14,6
E0I8,陳弘桂,E02,中信兄弟,23,21,19,0,2,2,2,0,0,0,2,8,3,0,1,0,1,0,0,1,6,3
R317,陳偉漢,E02,中信兄弟,23,45,43,6,6,14,11,3,0,0,17,10,1,0,1,0,1,0,0,1,12,7
R564,徐睿擇,E02,中信兄弟,22,47,41,1,6,13,11,0,2,0,17,5,0,0,3,0,3,0,0,0,14,9
A033,張民諺,E02,中信兄弟,21,53,46,1,6,12,10,2,0,0,14,9,0,2,3,1,3,0,0,0,13,13
H230,許基宏,E02,中信兄弟,21,77,62,14,11,18,9,5,0,4,35,17,0,2,0,0,15,0,0,1,16,11
R681,王峻杰,E02,中信兄弟,19,41,37,4,5,7,6,1,0,0,8,10,0,0,0,3,1,0,0,0,13,10
R133,陳皓然,E02,中信兄弟,18,41,37,2,5,6,3,2,1,0,10,7,0,2,0,1,3,0,0,0,11,14
R283,蘇袁億,E02,中信兄弟,12,11,11,0,2,1,1,0,0,0,1,4,0,0,0,0,0,0,0,0,4,2
R576,蔡明覺,E02,中信兄弟,12,27,23,1,3,7,4,3,0,0,10,4,1,1,0,0,2,0,2,0,8,4
E0K1,羅培茲,E02,中信兄弟,8,29,26,1,1,3,2,1,0,0,4,1,1,1,0,0,3,0,0,1,13,9
R324,林王啟瑋,E02,中信兄弟,6,16,13,0,3,2,1,1,0,0,3,7,0,0,0,0,2,0,1,0,2,2
R501,陳威儒,E02,中信兄弟,3,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
R665,張志強,E02,中信兄弟,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
E0K7,周聖訓,E02,中信兄弟,2,4,4,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
A044,林智勝,A02,Lamigo,109,441,391,73,53,109,69,27,2,11,173,87,14,9,1,5,40,2,2,2,78,124
z102,詹智堯,A02,Lamigo,108,437,377,26,51,108,83,23,1,1,136,52,7,2,11,2,33,3,11,8,133,86
R407,林智平,A02,Lamigo,106,415,374,36,50,103,88,12,2,1,122,52,31,7,4,2,26,0,9,7,148,73
R529,林泓育,A02,Lamigo,102,426,387,60,55,121,87,16,2,16,189,61,0,18,1,1,20,3,14,0,111,95
R017,黃浩然,A02,Lamigo,100,307,273,33,25,64,46,14,1,3,89,54,1,4,15,4,11,0,4,2,78,82
R625,余德龍,A02,Lamigo,99,311,293,29,43,79,68,7,4,0,94,33,9,5,3,4,11,0,0,5,106,79
R405,郭嚴文,A02,Lamigo,94,369,333,49,45,99,77,13,1,8,138,44,4,11,1,3,31,1,0,3,86,107
R595,藍寅倫,A02,Lamigo,88,309,277,39,47,94,69,20,1,4,128,42,20,6,4,7,15,2,4,1,86,62
R011,陳冠任,A02,Lamigo,82,268,245,35,17,71,54,16,0,1,90,23,1,11,0,5,11,1,6,1,81,75
R367,鍾承祐,A02,Lamigo,67,173,153,20,15,34,20,9,1,4,57,38,1,3,1,1,15,1,2,1,34,48
R109,葉竹軒,A02,Lamigo,61,107,98,4,15,21,11,10,0,0,31,29,10,2,1,1,7,0,0,1,21,28
H372,劉時豪,A02,Lamigo,61,127,115,10,19,31,24,7,0,0,38,20,0,3,1,0,10,1,0,0,39,25
R530,陳雁風,A02,Lamigo,60,152,144,16,15,39,33,6,0,0,45,24,8,4,4,1,2,0,1,1,49,33
R235,郭永維,A02,Lamigo,51,171,157,15,19,50,43,5,2,0,59,22,7,4,6,2,5,0,1,2,42,45
A063,陳金鋒,A02,Lamigo,43,94,80,6,12,11,10,1,0,0,12,21,0,2,0,1,13,0,0,0,19,30
A039,蔡建偉,A02,Lamigo,41,90,79,11,12,21,14,5,1,1,31,16,1,3,2,1,8,0,0,0,22,21
R206,郭修延,A02,Lamigo,40,103,93,5,7,19,18,1,0,0,20,18,4,5,1,0,7,1,1,3,30,25
R672,陳俊秀,A02,Lamigo,26,98,85,8,10,21,14,5,0,2,32,17,1,4,0,0,11,0,2,0,18,29
R590,翁克堯,A02,Lamigo,23,55,46,5,5,11,10,1,0,0,12,16,2,1,0,2,7,0,0,0,9,12
R599,林政億,A02,Lamigo,16,18,16,0,3,1,1,0,0,0,1,5,0,2,0,0,2,0,0,0,5,5
A032,石志偉,A02,Lamigo,16,28,28,0,2,6,5,1,0,0,7,5,0,2,0,0,0,0,0,0,8,9
A0D1,梁家榮,A02,Lamigo,14,43,41,2,1,7,6,1,0,0,8,12,0,1,0,0,1,0,1,0,11,11
H367,紀品宏,A02,Lamigo,4,10,10,0,1,2,2,0,0,0,2,1,0,0,0,0,0,0,0,1,5,2
R069,劉家豪,A02,Lamigo,2,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
R493,謝炫任,A02,Lamigo,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0
R205,林益全,B03,義大,119,520,465,88,81,161,114,32,1,14,237,33,1,13,2,8,40,4,1,0,154,124
R678,胡金龍,B03,義大,115,505,463,55,81,162,126,27,4,5,212,35,12,16,6,3,32,1,0,2,133,136
B0B3,張建銘,B03,義大,112,484,448,44,58,134,116,16,1,1,155,46,3,11,3,6,24,0,3,3,147,127
R441,林威廷,B03,義大,98,368,332,32,29,104,89,14,1,0,120,53,12,7,11,3,18,1,3,4,112,66
B0B9,鄭達鴻,B03,義大,97,360,312,35,39,93,77,14,1,1,112,49,20,10,5,4,31,2,6,10,97,77
