ID,Name,Team ID,Team Name,G,PA,AB,RBI,R,H,1B,2B,3B,HR,TB,SO,SB,GIDP,SH,SF,BB,IBB,HBP,CS,GO,FO
H526,莊駿凱,L01,統一7-ELEVEn,5,14,13,2,1,2,2,0,0,0,2,3,0,1,0,0,1,0,0,0,5,3
L0M4,吳國豪,L01,統一7-ELEVEn,8,8,6,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,3,2
H218,郭峻偉,L01,統一7-ELEVEn,9,24,22,0,0,2,1,1,0,0,3,3,0,1,0,0,1,0,1,0,9,8
L0K0,陳鏞基,L01,統一7-ELEVEn,107,387,342,50,56,95,56,23,2,14,164,57,16,10,3,5,34,0,3,3,65,131
R600,林志祥,L01,統一7-ELEVEn,107,483,450,54,73,136,112,20,0,4,168,60,20,4,1,6,25,0,1,10,152,108
R412,劉育辰,L01,統一7-ELEVEn,12,39,39,4,5,10,7,2,0,1,15,12,0,1,0,0,0,0,0,0,6,11
R517,薛惟中,L01,統一7-ELEVEn,13,25,21,0,1,2,2,0,0,0,2,2,0,0,0,0,3,0,1,0,9,8
R018,凃壯勳,L01,統一7-ELEVEn,15,23,21,1,2,4,3,1,0,0,5,3,1,1,1,0,1,0,0,0,10,4
H727,林志賢,L01,統一7-ELEVEn,20,62,60,6,5,17,15,2,0,0,19,13,0,1,1,0,0,0,1,0,7,23
R418,李育儒,L01,統一7-ELEVEn,27,29,27,1,6,5,4,1,0,0,6,5,2,0,1,0,1,0,0,0,7,10
H407,郭阜林,L01,統一7-ELEVEn,33,124,113,17,17,28,15,6,0,7,55,46,0,2,0,1,7,1,2,0,17,23
L0F5,陳俊輝,L01,統一7-ELEVEn,36,104,95,22,18,30,27,2,0,1,35,14,0,3,3,1,2,0,3,0,20,32
R262,郭俊佑,L01,統一7-ELEVEn,39,110,101,12,11,25,21,3,0,1,31,31,1,3,0,0,8,0,1,1,26,19
R346,唐肇廷,L01,統一7-ELEVEn,42,132,118,10,16,39,33,4,0,2,49,13,3,2,5,0,9,0,0,2,32,34
L0E7,郭岱琦,L01,統一7-ELEVEn,46,156,145,25,16,33,22,5,0,6,56,37,1,4,0,1,9,1,0,1,31,45
D047,張泰山,L01,統一7-ELEVEn,47,175,160,20,12,45,37,5,0,3,59,21,0,7,0,2,11,1,1,1,64,32
R579,方昶詠,L01,統一7-ELEVEn,47,165,150,14,28,46,34,11,1,0,59,43,6,1,2,0,13,0,0,1,36,25
R335,周廣勝,L01,統一7-ELEVEn,56,180,159,22,23,55,43,7,3,2,74,18,0,4,3,2,14,0,2,1,39,49
L0G5,潘武雄,L01,統一7-ELEVEn,57,230,203,32,36,61,37,12,0,12,109,45,8,5,1,0,23,3,0,3,56,41
L0D8,劉芙豪,L01,統一7-ELEVEn,61,266,230,53,38,63,39,9,0,15,117,52,3,5,2,0,32,0,2,2,64,51
R349,黃恩賜,L01,統一7-ELEVEn,62,176,158,10,25,36,27,8,0,1,47,30,5,2,1,0,13,0,4,2,40,52
R337,朱元勤,L01,統一7-ELEVEn,73,211,184,24,31,50,39,8,0,3,67,49,2,2,6,0,16,1,4,5,47,38
L0E9,高志綱,L01,統一7-ELEVEn,75,238,217,21,30,56,45,9,1,1,70,37,3,4,2,1,17,0,1,4,61,64
R340,買嘉儀,L01,統一7-ELEVEn,78,272,230,31,39,64,47,13,0,4,89,46,4,6,0,5,30,0,7,1,49,76
L0E0,高國慶,L01,統一7-ELEVEn,91,382,346,57,51,113,90,16,2,5,148,44,6,12,0,3,27,1,5,2,85,107
L0K5,鄧志偉,L01,統一7-ELEVEn,98,320,285,60,39,76,46,15,1,14,135,80,2,7,0,3,27,4,1,0,60,72
R613,羅國龍,L01,統一7-ELEVEn,99,388,337,37,50,103,81,14,6,2,135,57,8,9,8,4,37,0,2,4,100,81
H086,林明杰,E02,中信兄弟,2,5,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1
H225,曾陶鎔,E02,中信兄弟,2,7,6,0,1,1,1,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1
H153,蔡益民,E02,中信兄弟,3,4,4,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
H017,蘇緯達,E02,中信兄弟,4,18,18,7,1,6,5,0,1,0,8,6,0,0,0,0,0,0,0,0,1,5
R133,陳皓然,E02,中信兄弟,4,3,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
E0I8,陳弘桂,E02,中信兄弟,6,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
R665,張志強,E02,中信兄弟,6,19,19,1,4,5,5,0,0,0,5,5,0,1,0,0,0,0,0,0,3,6
R576,蔡明覺,E02,中信兄弟,9,16,14,2,3,3,3,0,0,0,3,2,1,0,0,0,1,0,1,1,7,2
E0J8,陳子豪,E02,中信兄弟,100,339,295,44,57,88,69,11,3,5,120,54,4,1,3,2,33,1,5,1,89,66
E0C1,彭政閔,E02,中信兄弟,108,484,409,57,62,131,110,16,1,4,161,81,3,14,1,5,65,1,3,4,97,105
R457,張正偉,E02,中信兄弟,108,476,418,41,85,140,110,25,3,2,177,40,3,6,1,3,47,0,7,6,119,122
G072,周思齊,E02,中信兄弟,109,474,413,79,68,144,101,27,1,15,218,68,11,7,5,6,45,0,5,2,83,124
R272,王勝偉,E02,中信兄弟,114,425,378,40,62,110,88,14,2,6,146,46,16,8,14,6,17,0,10,5,104,124
H240,潘萣翔,E02,中信兄弟,11,28,25,3,4,9,7,2,0,0,11,5,0,0,0,0,3,0,0,0,9,2
R324,林王啟瑋,E02,中信兄弟,14,33,26,3,6,9,8,1,0,0,10,7,0,1,0,0,6,0,1,0,6,4
R681,王峻杰,E02,中信兄弟,17,43,37,5,3,7,6,1,0,0,8,8,1,1,2,1,3,0,0,0,13,10
R117,簡富智,E02,中信兄弟,18,19,17,2,4,3,3,0,0,0,3,2,1,1,0,0,1,0,1,0,9,4
E0E6,陳智弘,E02,中信兄弟,19,28,27,4,2,8,8,0,0,0,8,8,0,1,1,0,0,0,0,0,4,7
E0K7,周聖訓,E02,中信兄弟,20,37,37,3,1,8,6,2,0,0,10,5,0,1,0,0,0,0,0,0,12,12
R410,郭健瑜,E02,中信兄弟,26,41,39,4,8,14,11,3,0,0,17,3,0,1,0,0,2,0,0,2,14,8
R399,蔣智賢,E02,中信兄弟,30,118,111,25,14,34,25,6,0,3,49,14,0,5,0,2,5,0,0,0,40,25
R317,陳偉漢,E02,中信兄弟,31,62,57,6,3,13,11,2,0,0,15,10,0,1,1,0,3,0,1,0,14,20
R610,黃鈞聲,E02,中信兄弟,35,82,77,14,8,22,17,2,0,3,33,14,0,4,2,0,3,0,0,0,18,23
E0L0,佩卓,E02,中信兄弟,37,159,146,21,27,44,27,10,0,7,75,29,9,1,0,1,11,0,1,1,29,45
E0K4,耐克,E02,中信兄弟,58,246,219,35,29,73,57,12,2,2,95,32,2,9,3,2,20,0,2,0,60,56
G073,黃仕豪,E02,中信兄弟,68,136,120,17,14,32,28,3,1,0,37,12,0,5,2,2,8,0,4,0,44,35
H230,許基宏,E02,中信兄弟,87,322,260,56,54,83,55,13,2,13,139,76,2,2,0,6,52,1,3,0,48,60
