ID,Name,Team ID,Team Name,POS,G,TC,PO,A,E,DP,TP,PB,CS,SB
R529,林泓育,A02,Lamigo,C,29,169,157,10,2,1,0,1,2,24
R351,許躍騰,A02,Lamigo,C,12,44,37,7,0,0,0,1,3,9
R069,劉家豪,A02,Lamigo,C,42,94,86,7,1,1,0,2,3,15
R017,黃浩然,A02,Lamigo,C,82,443,390,47,6,2,0,2,17,48
R625,余德龍,A02,Lamigo,1B,36,319,293,21,5,31,0,0,0,0
R602,黃淯暟,A02,Lamigo,1B,9,63,58,5,0,6,0,0,0,0
R405,郭嚴文,A02,Lamigo,1B,21,184,175,8,1,16,0,0,0,0
A0C9,猛德拉,A02,Lamigo,1B,28,256,248,4,4,28,0,0,0,0
A0B6,洪宸宇,A02,Lamigo,1B,20,140,132,8,0,14,0,0,0,0
A044,林智勝,A02,Lamigo,1B,15,127,116,11,0,15,0,0,0,0
A032,石志偉,A02,Lamigo,1B,23,77,73,4,0,3,0,0,0,0
R590,翁克堯,A02,Lamigo,2B,2,8,1,5,2,1,0,0,0,0
R405,郭嚴文,A02,Lamigo,2B,51,266,115,147,4,31,0,0,0,0
R235,郭永維,A02,Lamigo,2B,12,21,8,13,0,1,0,0,0,0
R206,郭修延,A02,Lamigo,2B,25,120,41,76,3,12,0,0,0,0
R109,葉竹軒,A02,Lamigo,2B,62,271,124,139,8,39,0,0,0,0
R625,余德龍,A02,Lamigo,3B,35,87,20,61,6,10,0,0,0,0
R530,陳雁風,A02,Lamigo,3B,2,0,0,0,0,0,0,0,0,0
R407,林智平,A02,Lamigo,3B,98,249,39,195,15,17,0,0,0,0
R235,郭永維,A02,Lamigo,3B,10,15,3,9,3,1,0,0,0,0
A0D1,梁家榮,A02,Lamigo,3B,1,1,0,0,1,0,0,0,0,0
R625,余德龍,A02,Lamigo,SS,2,3,0,2,1,1,0,0,0,0
R530,陳雁風,A02,Lamigo,SS,25,84,32,49,3,10,0,0,0,0
R407,林智平,A02,Lamigo,SS,3,5,2,2,1,0,0,0,0,0
R405,郭嚴文,A02,Lamigo,SS,18,54,19,32,3,8,0,0,0,0
R235,郭永維,A02,Lamigo,SS,38,134,43,88,3,18,0,0,0,0
R206,郭修延,A02,Lamigo,SS,36,181,50,122,9,28,0,0,0,0
R109,葉竹軒,A02,Lamigo,SS,1,0,0,0,0,0,0,0,0,0
A044,林智勝,A02,Lamigo,SS,34,146,49,88,9,19,0,0,0,0
R625,余德龍,A02,Lamigo,LF,52,56,47,9,0,0,0,0,0,0
R599,林政億,A02,Lamigo,LF,17,23,22,1,0,0,0,0,0,0
R493,謝炫任,A02,Lamigo,LF,55,86,80,1,5,0,0,0,0,0
R367,鍾承祐,A02,Lamigo,LF,2,2,2,0,0,0,0,0,0,0
R011,陳冠任,A02,Lamigo,LF,32,49,48,0,1,0,0,0,0,0
A063,陳金鋒,A02,Lamigo,LF,4,8,8,0,0,0,0,0,0,0
A040,曾豪駒,A02,Lamigo,LF,21,20,20,0,0,0,0,0,0,0
A039,蔡建偉,A02,Lamigo,LF,6,3,3,0,0,0,0,0,0,0
z102,詹智堯,A02,Lamigo,CF,112,262,251,8,3,0,0,0,0,0
R625,余德龍,A02,Lamigo,CF,23,39,35,3,1,1,0,0,0,0
R599,林政億,A02,Lamigo,CF,9,7,7,0,0,0,0,0,0,0
R367,鍾承祐,A02,Lamigo,CF,11,21,21,0,0,0,0,0,0,0
A039,蔡建偉,A02,Lamigo,CF,1,1,1,0,0,0,0,0,0,0
R625,余德龍,A02,Lamigo,RF,6,8,7,0,1,0,0,0,0,0
R599,林政億,A02,Lamigo,RF,3,2,2,0,0,0,0,0,0,0
R367,鍾承祐,A02,Lamigo,RF,99,196,180,10,6,2,0,0,0,0
R231,王湘嵐,A02,Lamigo,RF,1,2,2,0,0,0,0,0,0,0
A063,陳金鋒,A02,Lamigo,RF,8,16,14,1,1,0,0,0,0,0
A040,曾豪駒,A02,Lamigo,RF,16,26,25,1,0,0,0,0,0,0
A039,蔡建偉,A02,Lamigo,RF,4,5,5,0,0,0,0,0,0,0
W0B6,曾孟承,A02,Lamigo,P,25,35,11,23,1,3,0,0,0,0
R673,曾琮萱,A02,Lamigo,P,6,4,0,3,1,0,0,0,0,0
R598,林家瑋,A02,Lamigo,P,7,1,0,1,0,0,0,0,0,0
R597,郭駿傑,A02,Lamigo,P,4,2,0,2,0,0,0,0,0,0
R527,王溢正,A02,Lamigo,P,8,10,2,7,1,0,0,0,0,0
R521,黃中辰,A02,Lamigo,P,33,11,1,10,0,0,0,0,0,0
R394,林柏佑,A02,Lamigo,P,9,9,2,7,0,0,0,0,0,0
R326,謝長融,A02,Lamigo,P,51,7,2,5,0,0,0,0,0,0
R311,王英山,A02,Lamigo,P,1,0,0,0,0,0,0,0,0,0
R236,郭文凱,A02,Lamigo,P,11,3,0,3,0,1,0,0,0,0
R228,許銘倢,A02,Lamigo,P,26,3,1,2,0,0,0,0,0,0
R123,陳子生,A02,Lamigo,P,52,7,0,6,1,0,0,0,0,0
R047,王豐鑫,A02,Lamigo,P,21,20,4,15,1,1,0,0,0,0
G001,黃欽智,A02,Lamigo,P,20,9,3,5,1,0,0,0,0,0
AOD2,路易士,A02,Lamigo,P,15,3,0,3,0,0,0,0,0,0
A0C7,朱俊祥,A02,Lamigo,P,1,0,0,0,0,0,0,0,0,0
A0C6,捍力士,A02,Lamigo,P,5,3,1,2,0,0,0,0,0,0
A0C5,德本,A02,Lamigo,P,27,10,3,7,0,0,0,0,0,0
A0C4,河本羅柏特,A02,Lamigo,P,14,4,0,4,0,0,0,0,0,0
A0C3,史奈德,A02,Lamigo,P,5,3,0,2,1,0,0,0,0,0
A0C2,波拉斯,A02,Lamigo,P,21,28,6,21,1,1,0,0,0,0
A0C0,羅力,A02,Lamigo,P,34,46,9,37,0,2,0,0,0,0
A0B1,鄭承浩,A02,Lamigo,P,36,14,3,8,3,0,0,0,0,0
R680,陽冠威,B03,義大,C,13,42,37,3,2,0,0,1,2,9
R398,林琨笙,B03,義大,C,84,387,343,39,5,3,0,0,23,25
R253,方克偉,B03,義大,C,32,93,73,19,1,6,0,0,7,10
B0B9,鄭達鴻,B03,義大,C,41,220,199,19,2,1,0,1,7,33
R680,陽冠威,B03,義大,1B,2,2,1,1,0,1,0,0,0,0
R678,胡金龍,B03,義大,1B,1,0,0,0,0,0,0,0,0,0
R497,張鎧,B03,義大,1B,1,2,2,0,0,0,0,0,0,0
R357,蔡森夫,B03,義大,1B,11,59,56,2,1,6,0,0,0,0
R350,黃智培,B03,義大,1B,3,9,9,0,0,3,0,0,0,0
R268,沈福仁,B03,義大,1B,11,91,88,3,0,12,0,0,0,0
R253,方克偉,B03,義大,1B,3,1,1,0,0,0,0,0,0,0
R205,林益全,B03,義大,1B,92,819,759,47,13,78,0,0,0,0
R016,林正豐,B03,義大,1B,1,0,0,0,0,0,0,0,0,0
B083,鄭兆行,B03,義大,1B,23,196,185,10,1,24,0,0,0,0
R498,陳凱倫,B03,義大,2B,76,417,166,245,6,63,0,0,0,0
R497,張鎧,B03,義大,2B,1,0,0,0,0,0,0,0,0,0
R301,藍少白,B03,義大,2B,37,114,44,69,1,19,0,0,0,0
R298,陳柏丞,B03,義大,2B,1,1,1,0,0,0,0,0,0,0
R006,林宗男,B03,義大,2B,15,44,17,23,4,5,0,0,0,0
B0D0,陳志偉,B03,義大,2B,3,5,2,2,1,1,0,0,0,0
B083,鄭兆行,B03,義大,2B,26,91,33,55,3,7,0,0,0,0
R497,張鎧,B03,義大,3B,13,6,0,6,0,0,0,0,0,0
R350,黃智培,B03,義大,3B,31,67,9,55,3,3,0,0,0,0
R301,藍少白,B03,義大,3B,7,4,3,1,0,0,0,0,0,0
R268,沈福仁,B03,義大,3B,4,12,5,4,3,2,0,0,0,0
R205,林益全,B03,義大,3B,3,2,2,0,0,0,0,0,0,0
R006,林宗男,B03,義大,3B,41,80,25,54,1,6,0,0,0,0
B0D0,陳志偉,B03,義大,3B,15,30,11,14,5,1,0,0,0,0
B083,鄭兆行,B03,義大,3B,65,132,32,90,10,12,0,0,0,0
R678,胡金龍,B03,義大,SS,4,23,6,14,3,6,0,0,0,0
R498,陳凱倫,B03,義大,SS,4,6,2,4,0,0,0,0,0,0
R298,陳柏丞,B03,義大,SS,4,7,2,5,0,1,0,0,0,0
R176,林瑋恩,B03,義大,SS,101,520,173,326,21,75,0,0,0,0
R006,林宗男,B03,義大,SS,24,99,34,57,8,13,0,0,0,0
B083,鄭兆行,B03,義大,SS,4,4,1,2,1,0,0,0,0,0
R678,胡金龍,B03,義大,LF,75,138,129,5,4,1,0,0,0,0
R621,徐育澄,B03,義大,LF,2,2,2,0,0,0,0,0,0,0
R481,張詠漢,B03,義大,LF,2,3,2,1,0,0,0,0,0,0
R400,高國輝,B03,義大,LF,31,25,20,2,3,0,0,0,0,0
R293,李家駒,B03,義大,LF,14,14,12,2,0,0,0,0,0,0
R286,吳宗峻,B03,義大,LF,7,8,7,1,0,0,0,0,0,0
R006,林宗男,B03,義大,LF,1,4,3,0,1,0,0,0,0,0
B0B9,鄭達鴻,B03,義大,LF,38,38,36,1,1,1,0,0,0,0
R678,胡金龍,B03,義大,CF,2,2,2,0,0,0,0,0,0,0
R621,徐育澄,B03,義大,CF,3,6,4,0,2,0,0,0,0,0
R400,高國輝,B03,義大,CF,75,168,158,6,4,1,0,0,0,0
R293,李家駒,B03,義大,CF,17,28,25,2,1,0,0,0,0,0
R286,吳宗峻,B03,義大,CF,8,17,16,1,0,0,0,0,0,0
R006,林宗男,B03,義大,CF,16,13,13,0,0,0,0,0,0,0
B0D1,蘇建榮,B03,義大,CF,64,75,74,0,1,0,0,0,0,0
R678,胡金龍,B03,義大,RF,2,4,4,0,0,0,0,0,0,0
R621,徐育澄,B03,義大,RF,7,4,4,0,0,0,0,0,0,0
R400,高國輝,B03,義大,RF,5,8,8,0,0,0,0,0,0,0
R293,李家駒,B03,義大,RF,11,12,9,2,1,0,0,0,0,0
R286,吳宗峻,B03,義大,RF,28,48,48,0,0,0,0,0,0,0
B0D1,蘇建榮,B03,義大,RF,1,0,0,0,0,0,0,0,0,0
B0B9,鄭達鴻,B03,義大,RF,6,4,4,0,0,0,0,0,0,0
B0B3,張建銘,B03,義大,RF,93,222,214,6,2,0,0,0,0,0
W0B9,沈鈺傑,B03,義大,P,56,7,2,5,0,1,0,0,0,0
R679,黃偉晟,B03,義大,P,4,0,0,0,0,0,0,0,0,0
R570,許文錚,B03,義大,P,2,0,0,0,0,0,0,0,0,0
R361,吳政憲,B03,義大,P,4,0,0,0,0,0,0,0,0,0
R356,林克謙,B03,義大,P,18,4,0,4,0,0,0,0,0,0
R354,賴鴻誠,B03,義大,P,28,28,3,23,2,5,0,0,0,0
R269,林其緯,B03,義大,P,19,10,2,5,3,1,0,0,0,0
R205,林益全,B03,義大,P,1,0,0,0,0,0,0,0,0,0
R107,蔡明晋,B03,義大,P,41,11,2,8,1,0,0,0,0,0
R049,陳煥揚,B03,義大,P,51,14,3,11,0,1,0,0,0,0
R016,林正豐,B03,義大,P,50,12,3,8,1,1,0,0,0,0
H401,張耿豪,B03,義大,P,26,17,6,11,0,2,0,0,0,0
G040,林英傑,B03,義大,P,26,19,7,12,0,0,0,0,0,0
B0H7,尼克,B03,義大,P,8,7,0,7,0,1,0,0,0,0
B0H4,強克,B03,義大,P,20,3,0,1,2,0,0,0,0,0
B0H3,馬克,B03,義大,P,12,13,2,9,2,2,0,0,0,0
B0H2,英克,B03,義大,P,2,0,0,0,0,0,0,0,0,0
B0H0,柴克,B03,義大,P,31,13,0,12,1,3,0,0,0,0
B0G9,希克,B03,義大,P,21,17,0,11,6,0,0,0,0,0
B0G5,林彥峰,B03,義大,P,15,7,4,3,0,2,0,0,0,0
B0G4,林晨樺,B03,義大,P,28,26,12,14,0,1,0,0,0,0
B0A6,陽建福,B03,義大,P,27,22,7,15,0,2,0,0,0,0
R681,王峻杰,E01,兄弟,C,70,285,258,23,4,2,0,0,10,25
R610,黃鈞聲,E01,兄弟,C,10,35,33,2,0,1,0,0,2,0
R232,林育鴻,E01,兄弟,C,5,8,7,1,0,0,0,1,1,0
E0E6,陳智弘,E01,兄弟,C,88,475,422,49,4,6,0,9,26,44
R008,鄭乃文,E01,兄弟,1B,7,39,35,3,1,1,0,0,0,0
G073,黃仕豪,E01,兄弟,1B,3,4,4,0,0,0,0,0,0,0
E0C1,彭政閔,E01,兄弟,1B,111,971,899,64,8,91,0,0,0,0
A033,張民諺,E01,兄弟,1B,23,124,114,2,8,12,0,0,0,0
R576,蔡明覺,E01,兄弟,2B,57,198,72,122,4,25,0,0,0,0
R501,陳威儒,E01,兄弟,2B,25,98,37,56,5,6,0,0,0,0
R222,朱偉銘,E01,兄弟,2B,1,1,0,1,0,0,0,0,0,0
R007,陳江和,E01,兄弟,2B,71,377,161,212,4,50,0,0,0,0
R576,蔡明覺,E01,兄弟,3B,8,5,2,3,0,2,0,0,0,0
R501,陳威儒,E01,兄弟,3B,10,22,4,17,1,2,0,0,0,0
R283,蘇袁億,E01,兄弟,3B,2,4,0,2,2,0,0,0,0,0
R222,朱偉銘,E01,兄弟,3B,1,2,0,2,0,0,0,0,0,0
R007,陳江和,E01,兄弟,3B,1,2,0,2,0,1,0,0,0,0
G073,黃仕豪,E01,兄弟,3B,113,263,60,187,16,26,0,0,0,0
R576,蔡明覺,E01,兄弟,SS,8,24,7,16,1,4,0,0,0,0
R272,王勝偉,E01,兄弟,SS,117,567,198,344,25,67,0,0,0,0
R222,朱偉銘,E01,兄弟,SS,1,3,0,2,1,1,0,0,0,0
R410,郭健瑜,E01,兄弟,LF,94,177,170,5,2,2,0,0,0,0
R117,簡富智,E01,兄弟,LF,22,18,16,1,1,0,0,0,0,0
G072,周思齊,E01,兄弟,LF,14,32,32,0,0,0,0,0,0,0
E0J8,陳子豪,E01,兄弟,LF,1,4,3,1,0,0,0,0,0,0
A033,張民諺,E01,兄弟,LF,5,8,8,0,0,0,0,0,0,0
R457,張正偉,E01,兄弟,CF,3,6,6,0,0,0,0,0,0,0
