ID,Name,Team ID,Team Name,POS,G,TC,PO,A,E,DP,TP,PB,CS,SB
B031,劉炳宣,B01,俊國,C,5,32,29,2,1,0,0,2,0,2
B022,白昆弘,B01,俊國,C,96,480,429,38,13,8,0,9,19,63
B005,希斯C.E,B01,俊國,C,1,1,1,0,0,0,0,0,0,0
T007,侯明坤,B01,俊國,1B,2,5,5,0,0,1,0,0,0,0
B045,張文宗,B01,俊國,1B,95,1004,932,60,12,93,0,0,0,0
B028,王傳家,B01,俊國,1B,11,78,76,2,0,3,0,0,0,0
B032,張協進,B01,俊國,2B,10,6,2,3,1,1,0,0,0,0
B017,黃忠義,B01,俊國,2B,100,558,248,292,18,74,0,0,0,0
B005,希斯C.E,B01,俊國,2B,2,8,1,6,1,1,0,0,0,0
B004,張建勳,B01,俊國,2B,4,6,2,4,0,2,0,0,0,0
T007,侯明坤,B01,俊國,3B,4,1,0,1,0,0,0,0,0,0
B042,詹姆士J.B,B01,俊國,3B,60,199,46,144,9,15,0,0,0,0
B032,張協進,B01,俊國,3B,34,72,17,48,7,5,0,0,0,0
B012,湯尼T.M,B01,俊國,3B,1,1,1,0,0,0,0,0,0,0
B005,希斯C.E,B01,俊國,3B,13,24,7,15,2,2,0,0,0,0
B004,張建勳,B01,俊國,3B,22,47,10,35,2,1,0,0,0,0
B017,黃忠義,B01,俊國,SS,1,1,0,1,0,0,0,0,0,0
B010,張耀騰,B01,俊國,SS,99,556,153,387,16,60,0,0,0,0
B005,希斯C.E,B01,俊國,SS,1,0,0,0,0,0,0,0,0,0
B004,張建勳,B01,俊國,SS,12,24,11,12,1,4,0,0,0,0
B036,羅強R.J,B01,俊國,LF,1,0,0,0,0,0,0,0,0,0
B028,王傳家,B01,俊國,LF,1,1,1,0,0,0,0,0,0,0
B026,吳哲宗,B01,俊國,LF,5,4,3,1,0,1,0,0,0,0
B024,邦尼B.W,B01,俊國,LF,5,7,7,0,0,0,0,0,0,0
B023,張天麟,B01,俊國,LF,7,8,7,1,0,0,0,0,0,0
B011,金子勝裕,B01,俊國,LF,2,2,2,0,0,0,0,0,0,0
B009,王俊郎,B01,俊國,LF,34,51,49,1,1,0,0,0,0,0
B006,陳威成,B01,俊國,LF,71,106,95,7,4,0,0,0,0,0
B005,希斯C.E,B01,俊國,LF,9,15,14,0,1,0,0,0,0,0
B001,沈俊忠,B01,俊國,LF,3,5,4,1,0,0,0,0,0,0
B026,吳哲宗,B01,俊國,CF,1,0,0,0,0,0,0,0,0,0
B024,邦尼B.W,B01,俊國,CF,2,2,2,0,0,0,0,0,0,0
B023,張天麟,B01,俊國,CF,78,196,188,4,4,1,0,0,0,0
B011,金子勝裕,B01,俊國,CF,1,0,0,0,0,0,0,0,0,0
B006,陳威成,B01,俊國,CF,17,22,21,0,1,0,0,0,0,0
B005,希斯C.E,B01,俊國,CF,24,65,58,3,4,1,0,0,0,0
B036,羅強R.J,B01,俊國,RF,38,59,56,1,2,0,0,0,0,0
B032,張協進,B01,俊國,RF,1,0,0,0,0,0,0,0,0,0
B028,王傳家,B01,俊國,RF,51,99,91,4,4,0,0,0,0,0
B024,邦尼B.W,B01,俊國,RF,1,0,0,0,0,0,0,0,0,0
B023,張天麟,B01,俊國,RF,9,12,11,0,1,0,0,0,0,0
B009,王俊郎,B01,俊國,RF,18,15,14,1,0,0,0,0,0,0
B006,陳威成,B01,俊國,RF,4,3,2,0,1,0,0,0,0,0
B005,希斯C.E,B01,俊國,RF,7,2,2,0,0,0,0,0,0,0
B001,沈俊忠,B01,俊國,RF,2,1,1,0,0,0,0,0,0,0
B058,金炯均,B01,俊國,P,1,0,0,0,0,0,0,0,0,0
B055,富蘭克林J.F,B01,俊國,P,16,24,4,19,1,1,0,0,0,0
B035,賴有亮,B01,俊國,P,25,14,2,12,0,0,0,0,0,0
B034,林朝煌,B01,俊國,P,26,31,6,23,2,3,0,0,0,0
