ID,Name,Team ID,Team Name,POS,G,TC,PO,A,E,DP,TP,PB,CS,SB
R069,劉家豪,A02,Lamigo,C,23,112,107,4,1,0,0,2,3,9
R036,林聖凱,A02,Lamigo,C,15,56,51,3,2,0,0,0,2,3
A006,陳峰民,A02,Lamigo,C,83,479,443,34,2,3,0,2,21,42
R077,蔣智聰,A02,Lamigo,1B,1,2,2,0,0,1,0,0,0,0
A090,霸漢G.B,A02,Lamigo,1B,33,299,277,18,4,27,0,0,0,0
A056,黃小偉,A02,Lamigo,1B,33,206,195,10,1,18,0,0,0,0
A011,潘忠韋,A02,Lamigo,1B,60,451,410,33,8,35,0,0,0,0
R077,蔣智聰,A02,Lamigo,2B,69,326,139,177,10,39,0,0,0,0
R058,蔡宗佑,A02,Lamigo,2B,21,60,29,30,1,9,0,0,0,0
R038,林津平,A02,Lamigo,2B,4,6,4,1,1,0,0,0,0,0
G058,施翔凱,A02,Lamigo,2B,4,6,3,3,0,2,0,0,0,0
B0B0,余進德,A02,Lamigo,2B,37,159,71,82,6,14,0,0,0,0
A032,石志偉,A02,Lamigo,2B,1,0,0,0,0,0,0,0,0,0
R058,蔡宗佑,A02,Lamigo,3B,13,26,4,20,2,3,0,0,0,0
R038,林津平,A02,Lamigo,3B,22,33,8,22,3,3,0,0,0,0
A032,石志偉,A02,Lamigo,3B,84,205,51,142,12,9,0,0,0,0
B0B0,余進德,A02,Lamigo,SS,13,60,25,29,6,4,0,0,0,0
A044,林智勝,A02,Lamigo,SS,79,397,129,243,25,48,0,0,0,0
A032,石志偉,A02,Lamigo,SS,23,91,26,64,1,10,0,0,0,0
R367,鍾承佑,A02,Lamigo,LF,24,27,23,3,1,0,0,0,0,0
B0B0,余進德,A02,Lamigo,LF,1,0,0,0,0,0,0,0,0,0
A063,陳金鋒,A02,Lamigo,LF,14,22,22,0,0,0,0,0,0,0
A059,石彥緯,A02,Lamigo,LF,6,7,7,0,0,0,0,0,0,0
A040,曾豪駒,A02,Lamigo,LF,67,99,90,7,2,1,0,0,0,0
A039,蔡建偉,A02,Lamigo,LF,1,1,1,0,0,0,0,0,0,0
A033,張民諺,A02,Lamigo,LF,16,11,10,1,0,0,0,0,0,0
R367,鍾承佑,A02,Lamigo,CF,6,7,7,0,0,0,0,0,0,0
B0B0,余進德,A02,Lamigo,CF,1,2,2,0,0,0,0,0,0,0
A039,蔡建偉,A02,Lamigo,CF,2,0,0,0,0,0,0,0,0,0
A015,黃龍義,A02,Lamigo,CF,98,254,242,8,4,5,0,0,0,0
R367,鍾承佑,A02,Lamigo,RF,14,20,19,1,0,0,0,0,0,0
B0B0,余進德,A02,Lamigo,RF,24,46,44,0,2,0,0,0,0,0
A090,霸漢G.B,A02,Lamigo,RF,1,3,2,0,1,0,0,0,0,0
A063,陳金鋒,A02,Lamigo,RF,2,2,2,0,0,0,0,0,0,0
A059,石彥緯,A02,Lamigo,RF,8,10,10,0,0,0,0,0,0,0
A039,蔡建偉,A02,Lamigo,RF,84,186,177,5,4,2,0,0,0,0
A033,張民諺,A02,Lamigo,RF,8,5,4,1,0,0,0,0,0,0
W0E9,郭建宏,A02,Lamigo,P,2,0,0,0,0,0,0,0,0,0
R392,張誌家,A02,Lamigo,P,22,9,5,4,0,0,0,0,0,0
R047,王豐鑫,A02,Lamigo,P,2,0,0,0,0,0,0,0,0,0
R030,蔡英峰,A02,Lamigo,P,21,7,3,4,0,0,0,0,0,0
G001,黃欽智,A02,Lamigo,P,32,11,2,9,0,0,0,0,0,0
A091,飛鵬J.B,A02,Lamigo,P,39,12,1,11,0,1,0,0,0,0
A089,強森M.J,A02,Lamigo,P,27,45,13,31,1,4,0,0,0,0
A087,鈴木誠,A02,Lamigo,P,5,0,0,0,0,0,0,0,0,0
A085,羅銳A.L,A02,Lamigo,P,15,17,4,13,0,0,0,0,0,0
A062,黃俊中,A02,Lamigo,P,23,14,5,9,0,0,0,0,0,0
A048,許志華,A02,Lamigo,P,29,10,3,6,1,1,0,0,0,0
A037,徐余偉,A02,Lamigo,P,28,15,5,10,0,0,0,0,0,0
A031,許志昌,A02,Lamigo,P,7,3,3,0,0,1,0,0,0,0
A002,許文雄,A02,Lamigo,P,23,18,5,13,0,0,0,0,0,0
A001,李風華,A02,Lamigo,P,47,17,4,13,0,1,0,0,0,0
A000,梁如豪,A02,Lamigo,P,9,2,0,2,0,0,0,0,0,0
R086,鍾家寶,B02,興農,C,13,32,30,2,0,0,0,0,1,3
E0E3,林馴偉,B02,興農,C,10,19,17,2,0,0,0,0,2,1
D037,葉君璋,B02,興農,C,97,601,563,35,3,5,0,7,16,36
B0B9,鄭達鴻,B02,興農,C,10,10,10,0,0,0,0,0,0,2
B0D0,陳志偉,B02,興農,1B,14,105,97,5,3,9,0,0,0,0
B0C0,余賢明,B02,興農,1B,1,0,0,0,0,0,0,0,0,0
B0B7,許國隆,B02,興農,1B,62,579,532,44,3,68,0,0,0,0
B017,黃忠義,B02,興農,1B,37,284,266,13,5,30,0,0,0,0
R080,吳柏宏,B02,興農,2B,5,6,2,4,0,0,0,0,0,0
R006,林宗男,B02,興農,2B,37,195,89,101,5,33,0,0,0,0
B0D0,陳志偉,B02,興農,2B,22,115,48,63,4,14,0,0,0,0
B087,張家浩,B02,興農,2B,48,208,87,112,9,21,0,0,0,0
B083,鄭兆行,B02,興農,2B,14,80,40,40,0,14,0,0,0,0
B017,黃忠義,B02,興農,2B,1,7,3,2,2,1,0,0,0,0
R080,吳柏宏,B02,興農,3B,19,29,8,18,3,3,0,0,0,0
D047,張泰山,B02,興農,3B,35,99,16,76,7,3,0,0,0,0
B0D0,陳志偉,B02,興農,3B,52,150,21,110,19,21,0,0,0,0
B083,鄭兆行,B02,興農,3B,9,22,4,18,0,3,0,0,0,0
R080,吳柏宏,B02,興農,SS,10,43,16,25,2,6,0,0,0,0
R006,林宗男,B02,興農,SS,60,294,91,182,21,38,0,0,0,0
