Year,Team ID,Old ID,Team,Team Nickname,Win,Lose,Tie
2014,AJK,A02,Lamigo桃猿,Lamigo,66,51,3
2014,AEM,B03,義大犀牛,義大,58,60,2
2014,ACN,E02,中信兄弟,中信,50,66,4
2014,ADD,L01,統一7-ELEVEn獅,統一,58,55,7
2015,AJK,A02,Lamigo桃猿,Lamigo,68,52,0
2015,AEM,B03,義大犀牛,義大,58,61,1
2015,ACN,E02,中信兄弟,中信,63,56,1
2015,ADD,L01,統一7-ELEVEn獅,統一,49,69,2
2016,AJK,A02,Lamigo桃猿,Lamigo,53,64,3
2016,AEM,B03,義大犀牛,義大,61,58,1
2016,ACN,E02,中信兄弟,中信,68,50,2
2016,ADD,L01,統一7-ELEVEn獅,統一,55,65,0
2017,AJK,A02,Lamigo桃猿,Lamigo,78,41,1
2017,ACN,E02,中信兄弟,中信,53,64,3
2017,ADD,L01,統一7-ELEVEn獅,統一,57,61,2
2017,AEO,B04,富邦悍將,富邦,48,70,2
2018,AJK,A02,Lamigo桃猿,Lamigo,73,47,0
2018,ADD,L01,統一7-ELEVEn獅,統一,64,55,1
2018,AEO,B04,富邦悍將,富邦,54,66,0
2018,ACN,E02,中信兄弟,中信,48,71,1
2019,AEO,B04,富邦悍將,富邦,63,55,2
2019,AJK,A02,Lamigo桃猿,Lamigo,63,55,2
2019,ACN,E02,中信兄弟,中信,62,56,2
2019,ADD,L01,統一7-ELEVEn獅,統一,48,70,2
2020,AEO,B04,富邦悍將,富邦,54,65,1
2020,AJL,AJL011,樂天桃猿,樂天,59,61,0
2020,ACN,E02,中信兄弟,中信,67,51,2
2020,ADD,L01,統一7-ELEVEn獅,統一,58,61,1
2021,ACN,,中信兄弟,中信,66,49,5
2021,ADD,,統一7-ELEVEn獅,統一,64,51,5
2021,AJL,,樂天桃猿,樂天,56,61,3
2021,AEO,,富邦悍將,富邦,54,62,4
2021,AAA,,味全龍,味全,50,67,3
2022,ACN,,中信兄弟,中信,69,47,4
2022,ADD,,統一7-ELEVEn獅,統一,48,69,3
2022,AJL,,樂天桃猿,樂天,70,46,4
2022,AEO,,富邦悍將,富邦,46,70,4
2022,AAA,,味全龍,味全,57,58,5
2023,ACN,,中信兄弟,中信,57,58,5
2023,ADD,,統一7-ELEVEn獅,統一,62,55,3
2023,AJL,,樂天桃猿,樂天,60,56,4
2023,AEO,,富邦悍將,富邦,48,67,5
2023,AAA,,味全龍,味全,62,53,5
2024,ACN,,中信兄弟,中信,70,50,0
2024,ADD,,統一7-ELEVEn獅,統一,66,53,1
2024,AJL,,樂天桃猿,樂天,62,57,1
2024,AEO,,富邦悍將,富邦,53,66,1
2024,AAA,,味全龍,味全,58,62,0
2024,AKP,,台鋼雄鷹,台鋼,49,70,1
