ID,Name,Team ID,Team Name,POS,G,TC,PO,A,E,DP,TP,PB,CS,SB
N119,辻野雄大,z70,日本社會人,C,1,5,4,0,1,0,0,0,0,0
N133,増川航太,z70,日本社會人,C,1,0,0,0,0,0,0,0,0,0
N121,柘植世那,z70,日本社會人,C,9,74,64,9,1,1,0,0,4,2
N118,木南了,z70,日本社會人,C,14,134,123,10,1,2,0,0,4,5
N119,辻野雄大,z70,日本社會人,1B,1,8,8,0,0,0,0,0,0,0
N129,北村祥治,z70,日本社會人,1B,1,3,2,1,0,0,0,0,0,0
N123,伊禮翼,z70,日本社會人,1B,4,33,31,2,0,3,0,0,0,0
N126,北川利生,z70,日本社會人,1B,4,20,20,0,0,4,0,0,0,0
N122,地引雄貴,z70,日本社會人,1B,6,56,55,1,0,5,0,0,0,0
N132,田村強,z70,日本社會人,1B,7,49,45,4,0,6,0,0,0,0
N124,久保皓史,z70,日本社會人,2B,3,9,2,7,0,2,0,0,0,0
N123,伊禮翼,z70,日本社會人,2B,4,10,5,4,1,1,0,0,0,0
N125,原田拓実,z70,日本社會人,2B,5,22,11,11,0,4,0,0,0,0
N129,北村祥治,z70,日本社會人,2B,5,25,5,20,0,3,0,0,0,0
N131,堀米潤平,z70,日本社會人,2B,7,28,8,19,1,3,0,0,0,0
N119,辻野雄大,z70,日本社會人,3B,1,0,0,0,0,0,0,0,0,0
N126,北川利生,z70,日本社會人,3B,2,3,1,1,1,0,0,0,0,0
N129,北村祥治,z70,日本社會人,3B,2,1,0,1,0,0,0,0,0,0
N130,青柳匠,z70,日本社會人,3B,2,7,2,5,0,2,0,0,0,0
N125,原田拓実,z70,日本社會人,3B,3,5,3,2,0,0,0,0,0,0
N132,田村強,z70,日本社會人,3B,4,9,1,7,1,0,0,0,0,0
N127,小室湧未,z70,日本社會人,3B,9,17,2,13,2,3,0,0,0,0
N123,伊禮翼,z70,日本社會人,SS,1,0,0,0,0,0,0,0,0,0
N129,北村祥治,z70,日本社會人,SS,3,14,9,4,1,1,0,0,0,0
N124,久保皓史,z70,日本社會人,SS,5,24,9,13,2,5,0,0,0,0
N131,堀米潤平,z70,日本社會人,SS,6,19,7,12,0,3,0,0,0,0
N130,青柳匠,z70,日本社會人,SS,7,26,11,15,0,5,0,0,0,0
N128,松本桃太郎,z70,日本社會人,LF,2,4,4,0,0,0,0,0,0,0
N135,長谷川拓真,z70,日本社會人,LF,4,6,5,1,0,0,0,0,0,0
N140,長池城磨,z70,日本社會人,LF,8,11,11,0,0,0,0,0,0,0
