ID,Name,Team ID,Team Name,G,PA,AB,RBI,R,H,1B,2B,3B,HR,TB,SO,SB,GIDP,SH,SF,BB,IBB,HBP,CS,GO,FO
0000003528,翁克堯,AJK,Lamigo二軍,60,240,203,26,35,57,40,10,5,2,83,28,14,10,4,3,27,1,3,5,66,55
0000001414,林知譽,AJK,Lamigo二軍,54,163,143,18,17,32,23,7,1,1,44,26,1,4,3,1,11,0,5,0,43,43
0000001286,馮健庭,AJK,Lamigo二軍,54,181,167,24,23,52,41,9,2,0,65,17,1,3,4,1,9,0,0,1,44,55
0000003537,林政億,AJK,Lamigo二軍,51,183,160,22,27,49,40,8,0,1,60,27,3,6,1,5,14,0,3,1,43,46
0000000141,董子浩,AJK,Lamigo二軍,51,184,162,26,24,51,42,6,3,0,63,11,1,9,7,1,14,0,0,0,41,60
0000003468,陳雁風,AJK,Lamigo二軍,48,141,132,13,16,35,26,7,2,0,46,18,2,3,2,0,7,0,0,1,44,35
0000003505,李國生,AJK,Lamigo二軍,45,101,89,17,13,21,15,3,1,2,32,33,2,1,0,2,9,0,1,0,18,19
0000001253,紀品宏,AJK,Lamigo二軍,45,114,104,9,18,34,28,3,3,0,43,9,8,1,4,0,5,0,1,4,35,26
0000003631,許禹壕,AJK,Lamigo二軍,44,91,80,9,9,23,20,1,1,1,29,10,3,2,4,0,6,0,1,0,22,25
0000000140,張煒謙,AJK,Lamigo二軍,44,127,107,12,15,30,28,2,0,0,32,14,4,1,3,1,15,0,1,2,34,30
0000003305,鍾承祐,AJK,Lamigo二軍,32,142,118,21,18,36,25,6,0,5,57,16,5,3,0,2,18,0,4,1,28,40
0000003048,葉竹軒,AJK,Lamigo二軍,31,128,100,11,23,31,22,8,0,1,42,9,5,1,2,2,23,1,1,2,18,44
0000002282,張閔勛,AJK,Lamigo二軍,29,103,88,14,16,24,11,9,0,4,45,6,0,5,2,3,10,0,0,0,32,29
0000003174,郭永維,AJK,Lamigo二軍,29,118,106,20,17,45,35,6,3,1,60,7,7,6,3,1,8,0,0,2,27,28
0000004032,嚴宏鈞,AJK,Lamigo二軍,22,34,23,2,6,7,5,2,0,0,9,2,1,1,1,1,9,0,0,1,6,9
0000004035,林大展,AJK,Lamigo二軍,20,37,32,2,4,8,7,1,0,0,9,9,0,0,2,0,3,0,0,0,8,7
0000003533,藍寅倫,AJK,Lamigo二軍,19,85,77,14,14,27,15,9,0,3,45,9,1,3,0,1,5,0,2,0,19,23
