ID,Name,Team ID,Team Name,G,PA,AB,RBI,R,H,1B,2B,3B,HR,TB,SO,SB,GIDP,SH,SF,BB,IBB,HBP,CS,GO,FO
0000003446,蔡孟修,AJK,Lamigo二軍,55,168,143,21,17,33,24,9,0,0,42,40,0,2,5,3,13,0,4,2,29,43
0000003528,翁克堯,AJK,Lamigo二軍,51,201,169,27,32,55,39,12,3,1,76,29,16,3,8,2,19,1,3,3,47,40
0000003546,溫元川,AJK,Lamigo二軍,50,175,150,19,21,35,26,7,0,2,48,26,2,7,8,1,13,0,3,2,41,49
0000003170,王湘嵐,AJK,Lamigo二軍,48,177,149,31,16,48,38,10,0,0,58,10,8,0,12,2,12,0,2,2,52,41
0000003289,許躍騰,AJK,Lamigo二軍,46,136,113,17,18,31,29,2,0,0,33,19,4,1,8,2,11,0,2,3,38,27
0000003540,黃淯暟,AJK,Lamigo二軍,45,179,140,35,34,48,31,8,3,6,80,28,5,2,2,5,31,2,1,1,27,42
0000000117,洪臣宇,AJK,Lamigo二軍,42,174,152,23,25,45,37,6,1,1,56,8,2,5,4,1,13,1,4,1,44,56
0000000040,蔡建偉,AJK,Lamigo二軍,40,166,140,11,27,44,31,10,2,1,61,21,0,3,1,0,20,0,5,1,40,35
0000003468,陳雁風,AJK,Lamigo二軍,35,120,104,6,15,33,23,5,5,0,48,9,8,4,8,1,6,0,1,0,26,37
0000003591,潘振瑋,AJK,Lamigo二軍,32,76,71,11,8,21,17,4,0,0,25,14,3,0,3,0,1,0,1,1,20,16
0000003145,郭修延,AJK,Lamigo二軍,32,127,111,18,14,33,23,6,3,1,48,11,4,2,4,1,8,0,3,5,36,32
0000003537,林政億,AJK,Lamigo二軍,26,97,77,11,11,22,19,2,1,0,26,14,3,2,5,2,10,0,3,5,21,22
0000003048,葉竹軒,AJK,Lamigo二軍,19,82,70,3,11,14,12,1,1,0,17,9,6,1,3,0,9,0,0,2,19,28
0000003431,謝炫任,AJK,Lamigo二軍,16,75,64,2,11,16,15,0,0,1,19,9,5,1,2,0,8,0,1,1,18,21
0000003174,郭永維,AJK,Lamigo二軍,14,44,38,6,4,12,10,2,0,0,14,3,3,1,1,0,5,0,0,1,15,8
0000003594,蕭明治,AJK,Lamigo二軍,12,13,13,2,1,4,4,0,0,0,4,1,1,0,0,0,0,0,0,1,3,5
0000000033,石志偉,AJK,Lamigo二軍,11,42,34,11,7,12,10,2,0,0,14,0,1,0,0,3,4,0,1,1,9,16
0000003445,蕭宇奇,AJK,Lamigo二軍,9,28,23,2,1,5,5,0,0,0,5,7,0,0,4,0,1,0,0,0,9,2
0000000041,曾豪駒,AJK,Lamigo二軍,8,31,27,4,4,7,6,1,0,0,8,6,0,0,0,0,3,0,1,1,5,9
0000003008,劉家豪,AJK,Lamigo二軍,6,19,15,1,1,4,4,0,0,0,4,5,0,0,1,0,2,0,1,0,4,2
