ID,Name,Team ID,Team Name,G,GS,GR,CG,SHO,NBB,W,L,SV,HLD,IP,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,FO
0000000776,王凱程,ACN,中信,32,0,32,0,0,0,3,4,1,6,27.0,123,430,39,3,5,0,2,15,3,1,17,17,40,22
0000000773,李吳永勤,ACN,中信,31,0,31,0,0,0,0,1,1,8,25.1,108,424,21,1,13,0,3,19,0,0,7,6,29,23
0000005566,黃弘毅,ACN,中信,31,0,31,0,0,0,0,2,3,8,27.2,124,501,25,1,16,0,2,29,8,0,13,13,18,34
0000006869,馮皓,ACN,中信,26,0,26,0,0,0,4,0,0,5,22.0,96,327,19,1,11,0,4,17,1,0,13,12,13,32
0000000779,陳柏豪,ACN,中信,22,8,14,0,0,0,2,4,0,4,46.0,214,803,51,7,25,0,2,43,5,0,37,33,45,48
0000001675,林丞軒,ACN,中信,21,0,21,0,0,0,0,4,0,3,18.1,105,398,26,4,23,0,2,12,2,0,25,22,16,26
0000006874,盧孟揚,ACN,中信,20,8,12,0,0,0,2,2,1,1,45.2,185,713,42,4,10,0,2,31,0,0,15,15,33,67
0000001194,楊志龍,ACN,中信,19,0,19,0,0,0,0,2,0,5,19.0,95,328,18,0,17,0,2,10,5,0,14,11,26,22
0000002281,廖乙忠,ACN,中信,19,0,19,0,0,0,1,0,0,5,20.2,98,384,22,1,12,0,1,13,3,0,15,14,18,32
0000001232,江忠城,ACN,中信,18,0,18,0,0,0,2,1,3,4,14.1,64,254,13,2,6,0,4,7,4,0,12,11,9,25
0000001005,彭識穎,ACN,中信,18,0,18,0,0,0,0,1,0,3,16.0,64,232,11,2,5,0,1,15,1,0,7,6,13,19
0000007049,林暉盛,ACN,中信,18,6,12,0,0,0,3,2,2,3,29.0,130,480,28,3,12,0,6,19,5,0,15,15,20,45
0000006876,張祖恩,ACN,中信,16,6,10,0,0,0,2,2,0,1,37.0,160,556,42,4,8,0,4,27,5,1,22,18,47,32
0000004626,王奕凱,ACN,中信,16,0,16,0,0,0,0,1,1,6,14.0,58,238,11,1,6,0,0,16,2,0,3,2,9,16
0000003078,官大元,ACN,中信,14,0,14,0,0,0,0,0,1,5,17.1,67,229,15,1,2,0,1,11,0,0,8,6,19,19
0000000771,陳琥,ACN,中信,12,0,12,0,0,0,0,1,1,4,12.0,56,195,10,0,7,0,2,6,0,0,7,4,14,17
0000006867,徐基麟,ACN,中信,12,5,7,0,0,0,1,3,0,2,23.2,107,377,26,2,9,0,3,15,0,0,15,14,20,34
