ID,Name,Team ID,Team Name,POS,G,TC,PO,A,E,DP,TP,PB,CS,SB
R610,黃鈞聲,EE2,中信兄弟二軍,C,6,40,35,5,0,1,0,0,0,5
k440,高宇杰,EE2,中信兄弟二軍,C,6,49,43,6,0,0,0,0,1,3
005565,張聖豪,EE2,中信兄弟二軍,C,8,9,8,1,0,0,0,0,0,0
E0J9,陳家駒,EE2,中信兄弟二軍,C,14,88,81,7,0,0,0,0,1,5
H086,林明杰,EE2,中信兄弟二軍,C,34,257,231,22,4,1,0,1,10,25
k461,吳明鴻,EE2,中信兄弟二軍,C,39,228,196,25,7,3,0,2,12,28
A044,林智勝,EE2,中信兄弟二軍,1B,2,17,17,0,0,1,0,0,0,0
H230,許基宏,EE2,中信兄弟二軍,1B,4,46,45,1,0,4,0,0,0,0
005567,林瑞鈞,EE2,中信兄弟二軍,1B,12,17,16,1,0,4,0,0,0,0
005569,曾頌恩,EE2,中信兄弟二軍,1B,13,83,75,8,0,14,0,0,0,0
E0M9,陳子鴻,EE2,中信兄弟二軍,1B,15,79,73,5,1,15,0,0,0,0
k464,王政順,EE2,中信兄弟二軍,1B,26,173,154,14,5,13,0,0,0,0
E0K8,杜家明,EE2,中信兄弟二軍,1B,41,351,316,29,6,35,0,0,0,0
k447,岳東華,EE2,中信兄弟二軍,2B,2,7,1,6,0,0,0,0,0,0
R272,王勝偉,EE2,中信兄弟二軍,2B,4,13,6,7,0,2,0,0,0,0
H240,潘志芳,EE2,中信兄弟二軍,2B,6,26,7,19,0,2,0,0,0,0
H529,吳東融,EE2,中信兄弟二軍,2B,7,42,19,23,0,7,0,0,0,0
005567,林瑞鈞,EE2,中信兄弟二軍,2B,8,12,4,8,0,0,0,0,0,0
R665,張志強,EE2,中信兄弟二軍,2B,12,45,13,31,1,7,0,0,0,0
k464,王政順,EE2,中信兄弟二軍,2B,12,41,10,30,1,9,0,0,0,0
R317,陳偉漢,EE2,中信兄弟二軍,2B,52,236,75,153,8,43,0,0,0,0
E0M9,陳子鴻,EE2,中信兄弟二軍,3B,2,0,0,0,0,0,0,0,0,0
R665,張志強,EE2,中信兄弟二軍,3B,10,12,1,10,1,3,0,0,0,0
R317,陳偉漢,EE2,中信兄弟二軍,3B,19,33,10,22,1,4,0,0,0,0
k464,王政順,EE2,中信兄弟二軍,3B,20,30,12,16,2,2,0,0,0,0
H240,潘志芳,EE2,中信兄弟二軍,3B,21,36,11,24,1,1,0,0,0,0
E0K8,杜家明,EE2,中信兄弟二軍,3B,28,70,23,41,6,6,0,0,0,0
k447,岳東華,EE2,中信兄弟二軍,SS,3,16,6,10,0,1,0,0,0,0
004636,江坤宇,EE2,中信兄弟二軍,SS,4,21,8,11,2,6,0,0,0,0
005567,林瑞鈞,EE2,中信兄弟二軍,SS,9,7,2,4,1,0,0,0,0,0
R317,陳偉漢,EE2,中信兄弟二軍,SS,9,29,14,15,0,7,0,0,0,0
R272,王勝偉,EE2,中信兄弟二軍,SS,35,153,51,92,10,26,0,0,0,0
R665,張志強,EE2,中信兄弟二軍,SS,38,156,59,92,5,30,0,0,0,0
